"original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text"
0.0,0.5649802684783936,"A person in a black and green outfit is riding a bicycle .

a colorfully dressed child rides a bike",0.0,0.5649802684783936,"A person in a black and green outfit is riding a bicycle .

a colorfully dressed child rides a bike"
1.0,0.09423601627349854,"A person rolls down a hill riding a wagon as another watches .

A [[child]] in a wagon rolls down a hill .",0.0,0.8875421285629272,"A person rolls down a hill riding a wagon as another watches .

A [[enfant]] in a wagon rolls down a hill ."
2.0,0.16614574193954468,"Families with [[strollers]] waiting in front of a carousel .

Families have some dogs in front of a carousel",1.0,0.946683943271637,"Families with [[pram]] waiting in front of a carousel .

Families have some dogs in front of a carousel"
2.0,0.17588549852371216,"A man in a black [[tank]] [[top]] wearing a red plaid hat

A man [[wearing]] football pads .",1.0,0.5498874187469482,"A man in a black [[container]] [[major]] wearing a red plaid hat

A man [[wears]] football pads ."
2.0,0.003844916820526123,"pedestrian walking on the [[street]]

A person walking inside a building .",0.0,0.9906889200210571,"pedestrian walking on the [[sant]]

A person walking inside a building ."
1.0,0.005717158317565918,"A person with dark hair in a white shirt is sitting in a chair in water with a `` [[swim]] at your own risk '' sign on the wall .

a [[person]] is [[relaxing]] on his [[day]] off",0.0,0.6358625888824463,"A person with dark hair in a white shirt is sitting in a chair in water with a `` [[swum]] at your own risk '' sign on the wall .

a [[somebody]] is [[relaxed]] on his [[hoy]] off"
0.0,0.09922987222671509,"A man in a bright yellow shirt juggles while riding a unicycle .

Man performs a juggling [[act]] on a unicycle .",1.0,0.6519237160682678,"A man in a bright yellow shirt juggles while riding a unicycle .

Man performs a juggling [[loi]] on a unicycle ."
0.0,0.017539680004119873,"Some [[cars]] and many tents are set up at the foot of a mountain .

Cars and tents are at the foot of the [[mountain]] .",2.0,0.6199378371238708,"Some [[autos]] and many tents are set up at the foot of a mountain .

Cars and tents are at the foot of the [[montagne]] ."
1.0,0.0020810961723327637,"A [[man]] on a bicycle , wearing cycle gear , riding at a fast past down [[paved]] [[trail]] surrounded by tree 's and [[grass]] .

He is heading to the cabin down the [[trail]] .",2.0,0.521428108215332,"A [[men]] on a bicycle , wearing cycle gear , riding at a fast past down [[emerged]] [[track]] surrounded by tree 's and [[sod]] .

He is heading to the cabin down the [[chemin]] ."
0.0,0.01716071367263794,"A young child [[climbing]] a stack of logs even though the sign warns against it .

A kid climbing some [[logs]]",1.0,0.6711506247520447,"A young child [[escalade]] a stack of logs even though the sign warns against it .

A kid climbing some [[register]]"
0.0,0.03100264072418213,"Two men help each other cut a sheet of plastic .

Two men cut some [[plastic]] .",1.0,0.9375483393669128,"Two men help each other cut a sheet of plastic .

Two men cut some [[polythene]] ."
0.0,0.03902250528335571,"A man in a blue jacket holding a handsaw [[sawing]] a pipe on top of a wood fence .

Someone is [[sawing]] .",1.0,0.7485498785972595,"A man in a blue jacket holding a handsaw [[wooden]] a pipe on top of a wood fence .

Someone is [[sawn]] ."
0.0,0.01498955488204956,"A woman holding a newborn baby .

woman holds [[baby]]",2.0,0.9998562335968018,"A woman holding a newborn baby .

woman holds [[dolls]]"
2.0,0.0008727908134460449,"A boy in blue shorts and a t-shirt is poised to hit a tennis ball with a racket .

A [[boy]] wearing green [[shorts]] and a green t-shirt runs on a [[track]] .",1.0,0.5489059686660767,"A boy in blue shorts and a t-shirt is poised to hit a tennis ball with a racket .

A [[guy]] wearing green [[skimpy]] and a green t-shirt runs on a [[course]] ."
2.0,2.8848648071289062e-05,"An [[olympian]] [[leaps]] over an [[obstacle]] .

An old [[woman]] sleeps in the [[kitchen]] .",1.0,0.8614671230316162,"An [[olympiad]] [[salta]] over an [[hampers]] .

An old [[girlfriend]] sleeps in the [[culinary]] ."
1.0,0.003567337989807129,"A man cooking over high flames .

A man is [[cooking]] for his friends .",2.0,0.7459476590156555,"A man cooking over high flames .

A man is [[boned]] for his friends ."
1.0,0.0071302056312561035,"A historic-looking building .

The town [[hall]]",2.0,0.9956875443458557,"A historic-looking building .

The town [[cinemas]]"
2.0,0.5362567901611328,"A man painting a sign onto his food cart .

Everyone is in a restaurant .",2.0,0.5362567901611328,"A man painting a sign onto his food cart .

Everyone is in a restaurant ."
1.0,0.0018686652183532715,"Two men roasting marshmallows in a fire pit .

The two men are [[friends]]",0.0,0.6950491666793823,"Two men roasting marshmallows in a fire pit .

The two men are [[chum]]"
0.0,0.005686759948730469,"A young boy is playing in the sandy water .

There is a [[boy]] in the water .",2.0,0.9742127656936646,"A young boy is playing in the sandy water .

There is a [[men]] in the water ."
0.0,0.04446810483932495,"Man with an [[orange]] bandanna is playing the flute .

[[Person]] with an orange bandanna is playing the flute .",2.0,0.7394430637359619,"Man with an [[amber]] bandanna is playing the flute .

[[Individual]] with an orange bandanna is playing the flute ."
1.0,0.4696441888809204,"Two men in hard hats look at a building while on the side of a street .

2 male humans are working [[construction]] .",0.0,0.706019937992096,"Two men in hard hats look at a building while on the side of a street .

2 male humans are working [[building]] ."
0.0,0.01814126968383789,"A [[woman]] , in red and white , and wearing glasses , [[sits]] in a room with other people .

A woman is sitting in a room with other people .",1.0,0.5377202033996582,"A [[fille]] , in red and white , and wearing glasses , [[assis]] in a room with other people .

A woman is sitting in a room with other people ."
1.0,0.22509247064590454,"a matador in white and gold clothing and pink sock is getting hit by a raging bull

The angry bull is attacking the matador and quite rightly [[so]]",0.0,0.5457633137702942,"a matador in white and gold clothing and pink sock is getting hit by a raging bull

The angry bull is attacking the matador and quite rightly [[thus]]"
0.0,0.012730956077575684,"A black and brown dog is playing with a brown and white dog .

Two [[dogs]] play .",1.0,0.8620703220367432,"A black and brown dog is playing with a brown and white dog .

Two [[doggies]] play ."
1.0,0.0014264583587646484,"Two men on opposing teams are playing [[soccer]] in a field .

Two teams playing soccer , practicing for the Olympics .",2.0,0.9997799396514893,"Two men on opposing teams are playing [[football]] in a field .

Two teams playing soccer , practicing for the Olympics ."
2.0,5.936622619628906e-05,"People in chairs around a table

The people are [[climbing]] a [[mountain]] .",0.0,0.9277229309082031,"People in chairs around a table

The people are [[heightened]] a [[slopes]] ."
0.0,0.007598519325256348,"A mother holds her newborn baby .

A person holding a [[child]] .",2.0,0.9998224973678589,"A mother holds her newborn baby .

A person holding a [[miners]] ."
2.0,0.0009377598762512207,"The gentlemen with the red plaid shirt and black pants is speaking to a [[young]] lady holding a blue folder .

The gentleman is speaking to an old lady .",1.0,0.5587540864944458,"The gentlemen with the red plaid shirt and black pants is speaking to a [[infantile]] lady holding a blue folder .

The gentleman is speaking to an old lady ."
0.0,0.052828311920166016,"Two people crossing by each other while [[kite]] [[surfing]] .

The people are outdoors .",1.0,0.8799995183944702,"Two people crossing by each other while [[handkerchief]] [[browsing]] .

The people are outdoors ."
2.0,0.004047393798828125,"A man in a white shirt taking a [[picture]] .

the man takes a [[video]] clip",1.0,0.9791169166564941,"A man in a white shirt taking a [[image]] .

the man takes a [[films]] clip"
0.0,0.0022794604301452637,"Three people are standing on a lit stage while [[groups]] of people sitting at tables face them .

There is a [[group]] of [[people]] present .",1.0,0.6258758306503296,"Three people are standing on a lit stage while [[panels]] of people sitting at tables face them .

There is a [[team]] of [[compatriots]] present ."
1.0,0.0016399025917053223,"A group of people sitting around tables with computer monitors on them paying attention to something on the left .

The group of [[people]] are game [[developers]] [[creating]] a [[new]] video [[game]] in their office .",2.0,0.6186683177947998,"A group of people sitting around tables with computer monitors on them paying attention to something on the left .

The group of [[inhabitants]] are game [[builders]] [[creates]] a [[nouveau]] video [[jeux]] in their office ."
0.0,0.07692301273345947,"Two people talking on a dock .

people [[outside]]",1.0,0.7626075744628906,"Two people talking on a dock .

people [[besides]]"
0.0,0.0054558515548706055,"A child hugs a [[birdhouse]] .

There is a [[child]] and a birdhouse .",2.0,0.9997334480285645,"A child hugs a [[chickadee]] .

There is a [[teenager]] and a birdhouse ."
0.0,0.0059108734130859375,"A man talks to two guards as he holds a drink .

The man is holding a [[drink]] .",1.0,0.9909753799438477,"A man talks to two guards as he holds a drink .

The man is holding a [[alcohol]] ."
2.0,0.000496983528137207,"a young woman siting on a park bench in the [[sun]] .

The young woman is sitting on a bench in the rain .",1.0,0.9414917826652527,"a young woman siting on a park bench in the [[soleil]] .

The young woman is sitting on a bench in the rain ."
2.0,0.13779932260513306,"A choir of youths are singing .

the children are singing at [[home]]",1.0,0.9997618198394775,"A choir of youths are singing .

the children are singing at [[reception]]"
0.0,0.04980814456939697,"A [[woman]] in a bathing suit is sitting on a [[dock]] over a body of water .

A woman [[sits]] outside on the [[dock]] .",1.0,0.6367315649986267,"A [[fille]] in a bathing suit is sitting on a [[mooring]] over a body of water .

A woman [[sitting]] outside on the [[docks]] ."
0.0,0.017250657081604004,"A Young girl wearing a blue ski cap and red and gray two tone jacket stands between two bits of ice .

A girl standing near [[ice]] .",1.0,0.7311525344848633,"A Young girl wearing a blue ski cap and red and gray two tone jacket stands between two bits of ice .

A girl standing near [[glace]] ."
1.0,0.760811448097229,"Elderly woman climbing up the stairs .

The old lady was walking .",1.0,0.760811448097229,"Elderly woman climbing up the stairs .

The old lady was walking ."
1.0,0.004800856113433838,"A crowd of people are packed into a subway car .

A crowd of people are [[headed]] to work .",2.0,0.5922406911849976,"A crowd of people are packed into a subway car .

A crowd of people are [[carried]] to work ."
2.0,0.0009663105010986328,"This church [[choir]] sings to the masses as they sing joyous songs from the book at a [[church]] .

A [[choir]] singing at a [[baseball]] game .",1.0,0.5959306955337524,"This church [[cheer]] sings to the masses as they sing joyous songs from the book at a [[vestments]] .

A [[hymns]] singing at a [[baseballs]] game ."
1.0,0.0016112327575683594,"Man and women standing under a red umbrella .

The [[married]] couple stood under the [[umbrella]] .",2.0,0.9807297587394714,"Man and women standing under a red umbrella .

The [[marital]] couple stood under the [[parasol]] ."
0.0,0.03463876247406006,"A Ford car is making a right turn as 3 males are walking across the street behind the car .

A [[car]] making a right turn had three pedestrians cross behind it .",2.0,0.8399500846862793,"A Ford car is making a right turn as 3 males are walking across the street behind the car .

A [[motorcar]] making a right turn had three pedestrians cross behind it ."
1.0,0.033119022846221924,"A little girl in a colorful shirt holding a flower .

THe [[girl]] is [[cute]]",2.0,0.9997128844261169,"A little girl in a colorful shirt holding a flower .

THe [[chicas]] is [[cutie]]"
0.0,0.06310868263244629,"Two men riding a boat in clear water on a sunny day .

A couple people are doing [[activities]] on a nice day in a boat .",1.0,0.9287772178649902,"Two men riding a boat in clear water on a sunny day .

A couple people are doing [[acts]] on a nice day in a boat ."
1.0,0.0013247132301330566,"An Indian woman stands in an [[outdoor]] [[marketplace]] .

An [[Indian]] [[woman]] visits the outdoor [[bazaar]] to buy rice .",2.0,0.9781178832054138,"An Indian woman stands in an [[external]] [[marketing]] .

An [[Indigenous]] [[mesdames]] visits the outdoor [[junk]] to buy rice ."
0.0,0.025950908660888672,"A man is hanging [[sausages]] in a market .

A person is hanging sausages in a market .",2.0,0.7101542353630066,"A man is hanging [[hotdogs]] in a market .

A person is hanging sausages in a market ."
2.0,0.000398099422454834,"A person waterskiing in a river with a large wall in the background .

A [[dog]] waterskiing in a river with a large wall in the background .",0.0,0.8471960425376892,"A person waterskiing in a river with a large wall in the background .

A [[canine]] waterskiing in a river with a large wall in the background ."
