"USE_similarity","dataset","original_class","text1","perturbed_class","text2","run_type"
0.982430636882782,"imdb",0,"i just attended a preview screening of this film a masterpiece of documentary film making it was not totally absorbed with its subject, the film becomes incapable of leveling any sort of critical commentary with regard to ms faye cloying and sappy, the only redeeming quality of the film was its use of puppets in an attempt ( albeit a failed one ) to structure some kind of narrative but the creepiest experience occurred as the closing credits rolled the audience rose and applauded like moths to flame, americans in the 21st century are still drawn to freakshows the narrative of the misunderstood monster is getting rather tired",1,"i just assisted a preview supervision of this moviemaking a masterpiece of documentary film making it was not totally absorbed with its subject, the film becomes incapable of leveling any sort of critical commentary with regard to ms faye cloying and sappy, the only commuted quality of the film was its use of puppets in an attempt ( albeit a failed one ) to structure some kind of narrative but the creepiest experience occurred as the closing credits rolled the audience rose and applauded like moths to flame, americans in the 21st century are still drawn to freakshows the narrative of the misunderstood monster is getting rather tired","jin"
0.9927998185157776,"imdb",1,"absolute grabber of a movie, and given its age, years ahead of its time i first saw this the week my dad came home with a neighbor's tv, that the guy had thrown on the scrap heap a tinkerer with all things electrical, dad had it working inside two days this was july 1955 and then probably only the third house in the street to have television! pretty much the first thing we ever saw on that grainy and flickering old 12 inch screen was this film it's pretty old dear, i recall my mom telling me! almost 50 years on, and it doesn't seem any older rather like world war i in that respect! terrific little fantasy about a london omnibus carrying thirteen passengers, that crashes, killing one of their number then, in flashback we pick up on the lives of these people and what brought them to being on this bus that very day returning to the crash at the end of the film, the victim's identity is revealed, perhaps the inspiration behind the 1960 movie the list of adrian messenger if ever you come across this little gem, i suggest you watch it !",0,"utter grabber of a movie, and tabled its age, years ahead of its time i first saw this the weeks my dad came home with a neighbor's tv, that the guy had thrown on the scrap heap a tinkerer with all things electrical, dad had it working inside two days this was july 1955 and then probably only the third house in the street to have television! pretty much the first thing we ever saw on that grainy and flickering old 12 inch screen was this film it's pretty old dear, i recall my mom telling me! almost 50 years on, and it doesn't seem any older rather like world war i in that respect! terrific little fantasy about a london omnibus carrying thirteen passengers, that crashes, killing one of their number then, in flashback we pick up on the lives of these people and what brought them to being on this bus that very day returning to the crash at the end of the film, the victim's identity is revealed, perhaps the inspiration behind the 1960 movie the list of adrian messenger if ever you come across this little gem, i suggest you watch it !","jin"
0.9853877425193788,"imdb",0,"we bought the dvd of ""walking with dinosaurs"" and have been nearly ecstatic over the things that are done so very well on it.<br /><br />many dvds today offer the bare minimum ... the feature itself, and maybe one other language (which doesn't help the viewer at all, but makes it easier for the company to see the dvd in multiple markets). <br /><br />not so in the case of wwd. there are so many wonderful extras and well-thought-out vignettes that watching even the *navigation menu* is interesting. the intros to each chapter in ""the making of"" dvd are laugh-out-loud funny. the quality of the sound and video is terrific. and of course the story and content ... what more could a dinosaur lover ask for?<br /><br />i did watch most of the version broadcast on tdc (narrated by avery brooks) then watched about half of the dvd (narrated by kenneth branaugh). as near as i can tell, the broadcast version slipped in a number of mostly american slang terms in the narration (i.e. in a section about t. rex mating, branugh says ""the female is tiring of the male's attention"" and brooks says, ""the honeymoon is over"")and cut out some of the closer-in puppet work. i prefer the branugh version simply because it is more complete.<br /><br />overall, a great value and wonderful production. many kudos to the bbc and the crew that made this gem.",1,"we bought the dvd of ""walking with dinosaurs"" and have been nearly ecstatic half the things that are done so very well on it.<br /><br />many dvds today offer the bare minimum ... the feature itself, and maybe one other language (which doesn't raise the viewer at all, but makes it easier for the company to see the dvd in multiple markets). <br /><br />not so in the ethics of wwd. there are too many wonderful extras and well-thought-just vignettes that watching even the *navigation menu* is interesting. the intros to each chapter in ""the making of"" dvd are laugh-out-loud funny. the quality of the sound and video is terrific. and of course the story and content ... what more could a dinosaur lover ask for?<br /><br />i did watch most of the version broadcast on tdc (narrated by avery brooks) then talked about half of the dvd (narrated by kenneth branaugh). as near as i can tell, the broadcast version falling in a number of mostly american slang terms in the narration (i.e. in a section about t. mack mating, branugh says ""the female is tiring of the male's attention"" and brooks says, ""the honeymoon is over"")and spare out some of the closer-in puppet work. i prefer the branugh version simply because it is more complete.<br /><br />overall, a great value and wonderful production. many kudos to the bbc and the crew that made this sofa.","alzantot"
0.9846988320350648,"imdb",1,"i never saw the other two ""ninja"" movies and for all i know there are known, but for some reason i watched this one. this one starts out rather fast as this one ninja goes on a super killing spree. he is almost unstoppable as it takes quite a number of bullets to take him down. he is not out for the count though as he ends up possessing a woman and he then continues his killing ways by using her as his tool. another ninja enters the fray and apparently the only way you kill a ninja is with another ninja so he volunteers. this leads up to a big battle at the end as the dead ninja goes back into his body and they have it out in an all out war. sounds better than it actually turned out being, but at least it was not boring.",0,"i never saw the other two ""ninja"" movies and for all i think there are known, but for well reason i watched this one. this one days out rather moving as this one ninja goes on a super killing spree. he is almost unstoppable as it takes quite a row of bullets to take him down. he is not out for the count though as he ends up possessing a woman and he then continues his killing ways by using her as his tool. another ninja enters the fray and apparently the only way you kill a ninja is with another ninja so he volunteers. this leads up to a big battle at the advanced as the dead ninja goes back into his body and they have it out in an all out war. sounds better than it actually turned out being, but at least it was not nameless.","alzantot"
0.9886165261268616,"imdb",1,"this bravo special is one of the most purely entertaining things i've ever seen on tv unlike me first the gimme gimmes ( the worlds foremost punk supergroup cover band ), the dan band really must be seen to be appreciated on paper, the dan band is just a one joke act guy sings girly songs and inserts gratuitous profanity into the lyrics if you listen to their dan band live cd, that's all you 'll get, and it 'll get old quick ( i only bought it because it had some songs that weren't on the tv special ) but what's made dan finnerty a hollywood cult hero is his amazing stage presence this guy owns his audience for every second he's onstage and the backup singers are a large part of the visual punchline as well as for the actual band they stay out of sight for the most part, but are certainly much more energetic and enthusiastic than your typical lounge act backing band hopefully, a dvd version will be released soon there were almost certainly some songs cut and although the heavy censoring adds a bit of unintentional humor, it also removes the intentional humor if there is any sense in the world, the vegas casino owners will soon be fighting over who can build dan his own showroom faster re member my name fame !",0,"this bravo special is one of the most purely amusement things i've ever seen on tv although me first the gimme gimmes ( the worlds foremost punk supergroup cover band ), the dan band really must be seen to be appreciated on paper, the dan band is just a one joke act guy sings girly songs and inserts gratuitous profanity into the lyrics if you listen to their dan band live cd, that's all you 'll get, and it 'll get old quick ( i only bought it because it had some songs that weren't on the tv special ) but what's made dan finnerty a hollywood cult hero is his amazing staging exist this dudes chocks his audience for every minute he's onstage and the protect singers are a grosse component of the visual joke as well as for the actual band they stay out of sight for the most part, but are certainly sizeable more strong and enthusiastic than your typical lounge act substantiate band hopefully, a dvd version will be released soon there were almost certainly some songs cut and although the laborious censoring insertion a bit of unintentional humor, it also erases the intentional humour if there is any sense in the world, the vegas casino owners will soon be fighting over who can build dan his own showroom faster re member my name fame !","jin"
0.953973114490509,"imdb",0,"tv director uses astral projection to kill people taking the form of the blue man dull uninvolving horror film that kind of just sits there before your eyes and makes you wonder why you are watching it i sat through the film to the end and i really can't give you more than a cursory account of what the film was about because i kept finding my attention diverted by other things i can't really recommend this i think my feelings are best summed up by the fact that i paid a dollar for the dvd as a double feature and i feel kind of ripped off",1,"tv director uses astral projection to kill locals taking the method of the blue folks dull uninvolving horror movie that kind of just sits there before your eyes and makes you surprises why you are viewing it i oin through the movie to the end and i really can't give you more than a facie account of what the films was about for i sustained completion my attention moved by other thing i don't truely recommendation this i think my feelings are best summarized up by the fact that i paid a dollar for the bluray as a twice attributes and i feel kind of ripped off","jin"
0.9596086740493774,"yelp_polarity",1,"what can i say! ? it's starbucks",0,"what can i stated! ? it's starbucks","jin"
0.9564684629440308,"imdb",1,"this film was utterly horrible. stupid premise, and horrible acting by all. whoever wrote this trash should be hanged. reminds me of a hack student film, but worse. who ever produced this should give up now. i know opinions are subjective and all, and some may think this ""fantastic"" as some think ""dune (1984)"" was fantastic, well get off your horse and watch some real films. ok, the acting was tolerable, and with better direction could have been far better, but it didn't so it suffers. i don't know how much more i can say about this waste of film, other than to totally trash it. anyways it was horrible and i recommend to avoid it like the plague, if you come anywhere near ""dreamland"", rent the movie beside it instead.",0,"this film was utterly horrible. stupid description, and horrible acting by all. whoever wrote this trash should be imprisoned. reminds me of a hack student film, but worse. who ever produced this should give up today. i know opinions are subjective and all, and some may think this ""fantastic"" as some think ""dune (1984)"" was fantastic, well get off your garden and watch some great films. ok, the acting was tolerable, and with better direction could have been far better, but it frog so it suffers. i frog know what much more i can say about this detonator of film, other than to totally trash it. whatnot it was horrible and i recall to integrate it like the plague, if you come beyond near ""dreamland"", rent the movie overlooking it simply.","alzantot"
0.694326639175415,"movie_review",1,"mais um momento inspirado de david fincher",0,"pouco um importante inspirado toward david fincher","jin"
0.924549400806427,"yelp_polarity",0,"took over an hour and 30 minutes for my food yvonne's needs the old owners back i've eaten at yvonne's for a long time i've made a few comments to the owners about how a 45 minute wait for a quick sandwich isn't acceptable or a quick lunch spot i started ordering delivery food from them because of how long it takes when i'm there, and this isn't any better my food just took an hour and 36 minutes to get to my office which is literally the next complex over upon asking the owner why it took so long to get here, he have me the same excuse as he did last time when i told him he's told me that before he said oh and just turned around and walked away i won't be eating from there again",1,"came over an time and 30 min for my meals traci's owe the oldest tenant back i've lunch at jacqueline's for a longtime juncture i've were a few comments to the owners about how a 45 minute wait for a quick sandwich isn't acceptable or a rapids feast spots i started directions delivery dinner from them since of how lengthy it takes when i'm there, and this isn't any improved my meal just took an timing and 36 min to gaining to my offices which is actually the next delicate over upon wondering the owner why it was tad along to get here, he possess me the same excuses as he doing latter day when i tell him he's alluded me that before he says uhh and just rotating around and striven externally i couldn't was meals from there again","jin"
