"index","label_1","label_2","passage_1","passage_2","score_1","score_2","SE_Thresh","dataset","SE_Model"
0,1.0,0.0,"Came by on a Saturday afternoon with Calvin Harris as the headlining DJ and Burns as the opening DJ. Coming from the MGM Grand, there was a maze of outdoor walkways around the MGM pool to reach the Wet Republic entrance. There was a long line for guestlist and word on the street was that they were charging $175/guy. Fortunately, we bought online pre-sales at $75/guy and queued up on a much shorter line for ID and ticket check. Next, it was the security check line that somewhat reminded me of a TSA checkpoint... Once inside, there were plenty of people. The bouncers were surprisingly cool and friendly. They splashed water at the crowd near the front of the dance floor, to promote their theme of *WET* Republic? They also squirted water from bottled water into thirsty mouths... Their primary responsibility was to make sure things were kosher but they still partied with the guests. Calvin Harris put up a great performance during his first hour on stage, but it seemed like he got lazy during the second hour by playing the same/similar beat over and over again.","Came by on a Saturday afternoon with Calvin Harris as the headlining DJ and Burns as the opening DJ. Coming from the MGM Great, there was a maze of outdoor walkways around the MGM pool to reach the Wet Republic entrance. There was a long line for guestlist and word on the street was that they were charging $175/guy. Thankfully, we bought online pre-sales at $75/guy and queued up on a much shorter line for ID and ticket check. Next, it was the security check line that somewhat reminded me of a TSA checkpoint... Once interior, there were plenty of people. The bouncers were surprisingly cool and amiable. They splashed water at the crowd near the front of the dance floor, to promote their theme of *WET* Republic? They also squirted water from bottled water into thirsty mouths... Their primary responsible was to make sure things were kosher but they still partied with the guests. Calvin Harris put up a grand performance during his first hour on stage, but it seemed like he got lazy during the second hour by play the same/similar beat over and over again.",0.8210510611534119,0.5196588039398193,0.98,"yelp-sentiment","BERT"
1,1.0,0.0,"This place is insane. First off, the cover is a lot to get in there at $30 for girls and $50 for guys after waiting in line. Drinks are way over priced too, $8.75 for a beer, $15 for a cocktail. With that said, the vibe, music, and atmosphere here is a great time. Ran into some people that were in town for an Awards Show and had a blast. Overall this place is fun, but dont go there if you're looking for something cheap to do.","This place is insane. First off, the cover is a lot to get in there at $30 for girls and $50 for guys after waiting in line. Drinks are way over priced too, $8.75 for a beer, $15 for a cocktail. With that said, the vibe, music, and atmosphere here is a great time. Ran into some people that were in town for an Awards Show and had a blast. Total this place is fun, but dont go there if you're looking for something cheap to do.",0.5058476924896239,0.6262131929397583,0.98,"yelp-sentiment","BERT"
2,1.0,0.0,"Surprisingly impeccable service at the airline check-in desk. I'm kicking myself for not remembering the rep's name who helped us. My fellow weary traveler and I were NYC homeward bound after two weeks in Asia and a short stint in Vegas for a friend's wedding. With overly stuffed suitcases and heavy, jetlagged hearts, we approached the check-in counter and were startled by one of the only friendly greetings we received in the land of Vegas. Instead of checking our three bags, the airline rep suggested that we repack our bags to avoid a $40 charge and take the 3rd bag as a carry on. After doing so and just checking two bags, he deliberately looked the other way while the luggage was significantly over the weight limit. That's just good customer service. Oh yeah, and the flight itself was terrific. TV screens on every seat back, better snacks than any other airline, and friendly flight attendants. Love it.","Surprisingly impeccable service at the airline checked-in desk. I'm kicking myself for not remember the rep's name who help us. My fellow weary traveler and I were NYC homeward bound after two weeks in Asia and a short stint in Vegas for a friends's wedding. With inordinately stuffed suitcases and weighty, jetlagged hearts, we approached the checking-in counter and were startled by one of the only friendly greetings we received in the land of Vegas. Instead of checking our three bags, the airline rep suggested that we repack our bags to avert a $40 charge and take the 3rd bag as a carrying on. After doing so and just verifying two bags, he deliberately looked the other way while the luggage was significantly over the weight restricts. That's just good customer service. Oh yes, and the flight itself was wonderful. TV screens on everything seat back, better snacks than any other airline, and friendly flight attendants. Adore it.",0.9888351559638976,0.5232536792755127,0.98,"yelp-sentiment","BERT"
3,1.0,0.0,"Let me be clear on one thing: I love this place. The DJ's they have make it a lot of fun and the movie selections are great. In addition, their beer and wine selections are quite tasty. So, why not 5 stars? I think that the crowd just has to pick up, really. I know they're currently working on adding new menu items and movie selections to the place, but right now, it can just be dead. I went in there most recently last Friday. There was literally only one other group of people there. And I use the term ""group of people"" loosely, considering it was a group of two. We ended up leaving, because I can spend time with just my group of friends at my house if I wanted to and we were looking more to have an outing. However, I wanted the FilmBar atmosphere and experience that I certainly get on Saturday nights and it just was not there on Friday. DO go on Saturday nights. DJentrification is great and the vibe is wonderful. BUT...more importantly...go on other days!!! This place needs to fill up. Go see a movie, the theater is great! Get some drinks for happy hour. Go on Friday night and Sunday night! It's a nice bar that really has more of a hip lounge kind of feel. And the great part is that they're improving every day. I think they're only about a year old and it sometimes takes time. But the staff is great, the drinks are perfectly chosen, and the music is generally pretty amazing.","Let me be clear on one thing: I adore this place. The DJ's they have make it a lot of fun and the movie selections are great. In addition, their beer and wine selections are quite tasty. So, why not 5 stars? I think that the crowd just has to pick up, really. I know they're currently working on adding new menu items and movie selections to the place, but right now, it can just be dead. I went in there most recently last Friday. There was literally only one other group of people there. And I use the term ""group of people"" loosely, considering it was a group of two. We ended up leaving, because I can spend time with just my group of friends at my house if I wanted to and we were looking more to have an outing. However, I wanted the FilmBar atmosphere and experience that I certainly get on Saturday nights and it just was not there on Friday. DO go on Saturday nights. DJentrification is great and the vibe is wonderful. BUT...more importantly...go on other days!!! This place needs to fill up. Go see a movie, the theater is great! Get some drinks for happy hour. Go on Friday night and Sunday night! It's a nice bar that really has more of a hip lounge kind of feel. And the great part is that they're improving every day. I think they're only about a year old and it sometimes takes time. But the staff is great, the drinks are perfectly chosen, and the music is generally pretty amazing.",0.5806827545166016,0.5044292807579039,0.98,"yelp-sentiment","BERT"
4,0.0,1.0,"Circus Circus is okay for those who are looking to save money and for families with kids. Other than that, this probably is not the best place. Generally, the casino and the Midway reeks of trash and smoke, which can become unbearable especially when it becomes extremely crowded later in the day. The Adventuredome is crowded with kids running around and teens in herds, but it definitely seems like a good time for those interested in theme parks. The free and continuous circus acts are also great entertainment. Even though it is located on the strip, it is so far away from all the real excitement and you would have to drive to other parking lots if you want to experience the full strip because walking would take a while. If you're looking for the glitz of Las Vegas, stay at the Bellagio or other similar hotels because what you'll get at Circus Circus are touristy souvenir shops, unclean areas, and outdated rooms. Good food options and okay customer service overall. Tip: Bring hand sanitizer and/or hand wipes Most likely will not be coming back here in the future. And the clown at the entrance sign is extremely creepy.","Circus Circus is alright for those who are looking to save money and for families with kids. Other than that, this probably is not the best place. Generally, the casinos and the Midway reeks of trash and smoke, which can become unbearable especially when it becomes hugely crowded later in the day. The Adventuredome is crowded with kids running around and teens in herds, but it definitely seem like a good time for those interested in theme parks. The free and continuous circus act are also great entertainment. Even though it is located on the strip, it is so far away from all the actual excitement and you would have to drive to other parking lots if you wanna to experience the full strip because walking would take a while. If you're looking for the glitz of La Vegas, stay at the Bellagio or other similar hotels because what you'll get at Circus Circus are touristy souvenir shops, impure areas, and antiquated room. Good food option and alright customer service total. Tip: Bring hand sanitizer and/or hand wipes Most likely will not be coming back here in the upcoming. And the clown at the entrance sign is vitally creepy.",0.9811872243881226,0.5194468498229979,0.98,"yelp-sentiment","BERT"
5,0.0,1.0,"Came here on a weekend evening to grab a bite and some needed beverages. We ordered a bottle of wine and started out with their app special, the fried green tomatoes. This was def the best part of the meal. They were pretty yummy. I had the seafood crepes as my entree and wasn't expecting and didn't like the cream sauce. It was too heavy. My husband had a turkey panini of some sort which was pretty good but you can't really go wrong with a sandwich. I wasn't super impressed with the food or the ambience so not sure if I'll be back.","Came here on a weekend evening to grab a bite and some needed beverages. We ordered a bottle of wine and started out with their app special, the fried green tomatoes. This was def the best portions of the meals. They were quite yummy. I had the seafood crepes as my entree and wasn't expecting and didn't like the cream sauce. It was too heavy. My husband had a turkey panini of some sort which was pretty good but you can't really go wrong with a sandwich. I wasn't super impressed with the food or the ambience so not sure if I'll be back.",0.8515990376472473,0.5317445993423462,0.98,"yelp-sentiment","BERT"
6,1.0,0.0,"I went on Sunday around 4pm for dinner. Salmon and sea bass were both really fresh, and Salmon is not too over-cooked or dry. I got the buy one get one dinner coupon from myvegas, considering paid $14 for 2 dinner. Have cocktail shrimp, some mixed olives. The food is not bad for the price, and their sushi taste even better than Aria, or wicked spoon. They have the Mongolian stir fry dish, but I was too full to try any. If you like crab, this is not the place for you, I didn't see any. I don't like crab anyway, so I don't really care.","I went on Sunday around 4pm for supper. Salmon and sea bass were both truly fresh, and Salmon is not too over-cooked or dry. I got the buy one got one dinner coupon from myvegas, considering paying $14 for 2 lunches. Ha cocktail shrimps, some mixed olives. The food is not inclement for the pricing, and their sushi tasting even better than Aria, or wicked spoon. They ha the Mongolian stir fry dish, but I was too full to attempts any. If you like crab, this is not the place for you, I didn't behold any. I don't like crab anyway, so I don't genuinely care.",0.9746288657188416,0.5212421417236328,0.98,"yelp-sentiment","BERT"
7,1.0,0.0,"I go to this smiths because it is the closest supermarket to my house. There is an Albertson's that is across the street from the Smith's, but I prefer Smith's. First of all, Smith's is open 24/7. That's great if I need some late night munchies or commodities such as toilet paper. Second, they have self checkout registers. I feel weird getting checked out by an employee, it seems as if I should be tipping them or something. If you have a shoppers card, you can save a lot of money on certain items that are discounted. And, if you use your card, you can redeem points towards gas discounts, which really isn't that great because the discount is at Shell stations, which charge a lot more than most gas stations. I will continue to shop here because it's convenient. The prices aren't that bad either, it's better than Albertsons. I think the prices are better than Vons too.","I go to this smiths because it is the closest supermarket to my house. There is an Albertson's that is across the street from the Smith's, but I prefer Smith's. First of all, Smith's is open 24/7. That's great if I need some late night munchies or commodities such as toilet paper. Second, they have self checkout registers. I feel weird getting checked out by an employee, it seems as if I should be tipping them or something. If you have a shoppers card, you can save a lot of money on certain items that are discounted. And, if you use your card, you can redeem points towards gas discounts, which really isn't that great because the discount is at Shell stations, which charge a lot more than most gas stations. I will continue to shop here because it's convenient. The costing aren't that bad either, it's better than Albertsons. I think the prices are better than Vons too.",0.5364583730697632,0.5274543762207031,0.98,"yelp-sentiment","BERT"
8,1.0,0.0,"Those looking to unleash the interior designer within themselves can do no better than to come here. It's not particularly cheap, but if it's modern and slightly more unique items you are after then this is the place you are looking for. However, it should be noted that this place does not deal exclusively in lights and also offers other interior items generally including some sort of relationship to light in one form or another such as a number of items of furniture consisting of mirrors as their external surface. IF you do want something a bit more specific and have the money to spend then a visit here might be in order.","Those searching to unleash the interior designer within themselves can do no better than to coming here. It's not particularly cheap, but if it's modern and slightly more unique item you are after then this is the place you are looking for. However, it should be noted that this place does not deal exclusively in lights and also offers other interiors items ordinarily include some sort of relationship to light in one form or another such as a number of item of furniture composed of mirrors as their external surfaces. IF you do want something a bit more specific and have the money to spending then a visit here might be in order.",0.8226832151412964,0.5017740130424501,0.98,"yelp-sentiment","BERT"
9,1.0,0.0,"Studio 24 is probably as far away as you'll get from any mainstream banter in Edinburgh. It aims to be completely different, and does so pretty excellently. If you want Reggae, Dancehall, Dubstep, Punk, New Wave, Mod, Ska, Rockabilly, Surf, 60s, Psychedelia, Garage, Soul, Rock, Metal, Hardcore, Industrial, Goth, Breaks, Balkan, Psy-trance, Techno or House, then this is your place. Alternative is the name of Studio 24's game (like a nice rhyme), so if you want your jaded night time outings to be jolted back to life with a big zap of something different, then I recommend giving this well established venue a try. As well as the range of alternative nights held here, there are also a lot of live performances, and a night called The Mission, for classic rock and metal, which my rock music loving friends keep banging on about. Last time I was here I watched an awesome Ska band, then danced badly to some Reggae. The club's interior isn't aesthetically stunning or anything, but it does have huge character, and the space for gig watching is pretty big. I don't know any other venue where you get such a wide range of different kinds of people and styles mixing in the same room, and that's what really struck me when I was here. Dance and dress how you want without the fear of pretension and dubious vibes stopping you from enjoying yourself.","Studio 24 is presumably as far away as you'll got from any mainstream banter in Edinburgh. It aims to be altogether different, and does so pretty admirably. If you want Reggae, Dancehall, Dubstep, Punk, Newer Wave, Mod, Ska, Rockabilly, Surfer, 60s, Psychedelia, Garage, Soul, Rock, Metal, Hardcore, Industrial, Goth, Breaks, Balkans, Psy-trance, Techno or Houses, then this is your place. Alternatives is the name of Studio 24's game (like a nice rhyme), so if you wanna your jaded night time outings to be jolted back to life with a big zap of something different, then I recommending giving this well established venue a tries. As well as the ranging of alternative nights held here, there are also a lot of live performances, and a night called The Mission, for classic rock and metal, which my rock music loving friends maintain banging on about. Last time I was here I watched an impressive Ska bands, then danced badly to some Reggae. The club's interiors isn't aesthetically impressive or anything, but it does have whopping character, and the space for gig watching is pretty big. I don't know any other venue where you get such a wide range of assorted kinds of people and styles mixing in the same room, and that's what really struck me when I was here. Dance and dress how you want without the fear of pretension and dubious vibes stopping you from enjoying yourself.",0.9719100594520568,0.5162380337715149,0.98,"yelp-sentiment","BERT"
