"Unnamed: 0","label_1","label_2","passage_1","passage_2","score_1","score_2","SE_Thresh","dataset"
1,1.0,0.0,"What an overlooked 80's soundtrack. I imagine John Travolta sang some of the songs but in watching the movie it did seem to personify everything that was 80s cheese. Clearly movies that rely on mechanical bulls, bartenders and immature relationships were in style. The best was his lousy Texas accent. Compare that to Friday Night Lights.I suggest watching Cocktail and Stir Crazy to start really getting into the dumbing down of film. Also, as a side note Made in America with Ted Danson and Whoopie Goldberg is an awesomely bad movie. I was so shocked to realize I had never watched it. One more weird movie of this genre would have to include Cadilac Man with Robin Williams. Just remember all of these BIG stars played big roles in these CHEESY movies.. Tom Cruise, Richard Pryor, Robin Williams and John Travolta","What an overlooked 80's soundtrack. I imagine John Travolta sang some of the songs but in watching the movie it did seem to personify everything that was 80s cheese. Clearly movies that rely on mechanical bulls, bartenders and immature relationships were in style. The best was his lousy Texas accent. Compare that to Friday Night Lights.I suggest watching Cocktail and Stir Crazy to start really getting into the dumbing down of film. Also, as a side note Made in America with Ted Danson and Whoopie Goldberg is an awesomely bad film. I was so shocked to realizing I had never watched it. One more weird movie of this genre would have to include Cadilac Man with Robin Williams. Just remember all of these BIG stars played big roles in these CHEESY movies.. Tom Cruise, Richard Pryor, Robin Williams and John Travolta",0.5200479626655579,0.6028203368186951,0.98,"imdb"
14,1.0,0.0,"I know that originally, this film was NOT a box office hit, but in light of recent Hollywood releases (most of which have been decidedly formula-ridden, plot less, pointless, ""save-the-blonde-chick-no-matter-what"" drivel), Feast of All Saints, certainly in this sorry context deserves a second opinion. The film--like the book--loses anchoring in some of the historical background, but it depicts a uniquely American dilemma set against the uniquely horrific American institution of human enslavement, and some of its tragic (and funny, and touching) consequences. And worthy of singling out is the youthful Robert Ri'chard, cast as the leading figure, Marcel, whose idealistic enthusiasm is truly universal as he sets out in the beginning of his 'coming of age,' only to be cruelly disappointed at what turns out to become his true education in the ways of the Southern plantation world of Louisiana, at the apex of the antebellum period. When I saw the previews featuring the (dreaded) blond-haired Ri'chard, I expected a buffoon, a fop, a caricature--I was pleasantly surprised. Ossie Davis, Ruby Dee, the late Ben Vereen, Pam Grier, Victoria Rowell and even Jasmine Guy lend vivid imagery and formidable skill as actors in the backdrop tapestry of placage, voodoo, Creole ""aristocracy,"" and Haitian revolt woven into this tale of human passion, hate, love, family, and racial perplexity in a society which is supposedly gone and yet somehow is still with us.","I know that originally, this film was NOT a box office hit, but in light of recent Hollywood releases (most of which have been decidedly formula-ridden, plot less, pointless, ""save-the-blonde-chick-no-matter-what"" drivel), Feast of All Saints, unquestionably in this sorry context deserves a second opinion. The film--like the book--loses anchoring in some of the historical background, but it depicts a uniquely American dilemma set against the uniquely awful American institution of human enslavement, and some of its tragic (and funny, and touching) consequences. And worthy of singling out is the youthful Robert Ri'chard, cast as the leading figure, Marcel, whose idealistic enthusiasm is truly universal as he sets out in the beginning of his 'coming of age,' only to be cruelly disappointed at what turns out to become his true education in the ways of the Southern plantation world of Louisiana, at the apex of the antebellum period. When I saw the previews featuring the (dreaded) blond-haired Ri'chard, I expected a buffoon, a fop, a caricature--I was pleasantly surprised. Ossie Davis, Ruby Dee, the late Ben Vereen, Pam Grier, Victoria Rowell and even Jasmine Guy lend vivid imagery and formidable skill as actors in the backdrop tapestry of placage, voodoo, Creole ""aristocracy,"" and Haitian revolt woven into this tale of human passion, hate, love, family, and racial perplexity in a society which is supposedly gone and yet somehow is still with us.",0.6980553865432739,0.5065939426422119,0.99,"imdb"
13,0.0,1.0,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '","when seagal appeared in an orange prison jumpsuit , i wanna to stand up in the theater and shout , 'hey , kool-aid ! '",0.5066395401954651,0.580358624458313,0.96,"mr"
49,1.0,0.0,"Steve Biko was a black activist who tried to resist the white minority governed South Africa in much the same way as Gandhi tried to resist the British empire's colonialism in India. Richard Attenborough's film Cry Freedom is not about Biko or Apartheid as much as it is about Donald Woods, the white liberal newspaper editor who risked his life trying to tell Biko's story. The film has a jarring point of view switch after Biko dies in prison from tortuous behavior at the hands of South African ""police"". Woods, played by Kevin Kline, must choose whether to do the right thing and flee the country to publish books about Biko or allow his wife, played by Penelope Wilton, to pressure him into forgetting about the books. In that case, Biko dies in vain. What begins as a life-changing friendship between Biko and Woods degenerates into a standard by the numbers escape over the border yarn after Biko's death. Oscar-nominated Denzel Washington is good in only his fourth film as Biko, but something is wrong in a film that tries to depict the struggles of Apartheid by focusing more on the trials of a white family for more than half the film. Attenborough would have served his topic better by focusing on Biko's rise to prominence instead of beginning where Biko befriended Woods. Perhaps a black actor in a leading role in a 2 1/2 hour film wasn't exactly conducive to big box office, but the film was a tremendous box office flop anyway. Film politics aside, the film still entertains and sends a message or two, albeit, in PG-sanitized fashion. *** of 4 stars.","Steve Biko was a black activist who tried to resist the white minority governed South Africa in much the same way as Gandhi tried to resist the British empire's colonialism in India. Richard Attenborough's film Cry Freedom is not about Biko or Apartheid as much as it is about Donald Woods, the white liberal newspaper editor who risked his life trying to tell Biko's story. The film has a jarring point of viewing switched after Biko dies in prison from tortuous behavior at the hands of South African ""police"". Wood, played by Kevin Kline, must choose whether to do the right thing and flee the country to publish books about Biko or allow his wife, played by Penelope Wilton, to pressure him into forgetting about the books. In that case, Biko died in vain. What commencement as a life-altering friendship between Biko and Woods degenerates into a standard by the numbers escape over the frontiers yarn after Biko's deaths. Oscar-appointed Denzel Washington is good in only his fourth movie as Biko, but something is wrong in a film that attempt to depict the struggles of Apartheid by concentrate more on the trials of a white family for more than half the film. Attenborough would have served his topic better by focusing on Biko's rise to prominence instead of beginning where Biko befriended Woods. Perhaps a black actor in a leading role in a 2 1/2 hour film wasn't exactly conducive to big box office, but the film was a tremendous box office flop anyway. Film politics aside, the film still entertains and sends a message or two, albeit, in PG-sanitized fashion. *** of 4 stars.",0.7199503183364868,0.5038568973541261,0.96,"imdb"
19,1.0,0.0,"I went here on Saturday as this was the first stop on our bar hop adventure on Fremont, and I was not disappointed. My experiences with Fremont street thus far had been The Beauty Bar and The Griffin. To say that I wasn't a fan of Fremont Street was an understatement. The Griffin is basically the Blue Martini of hipsters, and Beauty Bar charges a cover to hang out with underage kiddies with fake ID's in a hole in the wall with music so loud that you can't think. Don't Tell Mama is the antithesis of that, it's filled with creative interesting people that are a tad eccentric. We walk in and are surprised to see a piano and a girl belting Take Me or Leave Me from Rent at the front of their mini stage. We both think, okay this is our kinda bar! I ordered a flavored vodka and sprite and Matt had a vodka cranberry, which came out to $13. So definitely not overpriced, you're crazy Matt. I think one of my favorite things about Don't Tell Mama was the fact that the bartenders are the singers. Yes, I got served my Stoli Blackberry and Sprite straight in the middle of the bartender belting out a song on a wireless mic, AMAZ-ING. Sexual orientation shouldn't matter in a bar, but I will comment that it does have a heavily female vibe. If that bothers you, this probably isn't your place. The music of the night included a couple tunes from Cher, Elton John, Billy Joel, Rush, Rent, and TLC. There was even a patron who belted out some Georgia on my Mind by Ray Charles.Yes they are heavily karaoke, but trust me on this, it's done phenomenally well. Truth be told, no matter how much I like this place I question it's ability to have longevity. It caters to a completely different crowd, it's small, known as a lesbian bar, and is on Fremont Street. Only time will tell, but the plain skill of the people that work there is spectacular. I will definitely be back and hopefully the word gets out about this small, yet amazing piano bar.","I went here on Saturday as this was the first ceasing on our bar hop adventure on Fremont, and I was not disillusioned. My experience with Fremont street thus far ha been The Beauty Bar and The Griffin. To say that I wasn't a fan of Fremont Street was an understatement. The Griffin is largely the Blue Martinis of hipsters, and Beauty Bar charges a cover to hang out with underage kiddies with bogus ID's in a hole in the wall with music so loud that you can't think. Don't Tell Mama is the antithesis of that, it's filled with inventive interesting people that are a tad eccentric. We walk in and are flabbergasted to see a piano and a girl belting Take Me or Leaving Me from Rent at the front of their mini stage. We both think, okay this is our kinda bar! I ordered a flavored vodka and sprite and Matt had a vodka cranberry, which came out to $13. So surely not overpriced, you're insane Matt. I thoughts one of my preferred things about Don't Tell Mama was the fact that the bartenders are the singers. Yes, I got served my Stoli Blackberry and Sprite straight in the middle of the bartender belting out a song on a wireless mic, AMAZ-ING. Sexual orientation shouldn't matter in a bar, but I will comment that it does have a heavily female vibe. If that bothers you, this probably isn't your place. The music of the night included a couple tunes from Cher, Elton John, Billy Joel, Rush, Rent, and TLC. There was even a patron who belted out some Georgia on my Mind by Ray Charles.Yes they are heavily karaoke, but trust me on this, it's done phenomenally well. Truth be told, no matter how much I like this place I question it's ability to have longevity. It caters to a completely different crowd, it's small, known as a lesbian bar, and is on Fremont Street. Only time will tell, but the plain skill of the people that work there is spectacular. I will definitely be back and hopefully the word gets out about this small, yet amazing piano bar.",0.9911862015724182,0.5601818561553955,0.97,"yelp-sentiment"
28,0.0,1.0,"I loved watching the original Azumi with its mix of live action manga, compelling storyline, cool soundtrack, directing (Kitamura rocks!), editing, and not to mention the beautiful Aya Ueto who filled the part perfectly. So I was really looking forward to seeing Azumi 2, but after finally seeing it I felt like i had won the lotto and lost the ticket:( Azumi 2 picks up where Azumi left off, however these are completely 2 different movies. The pace is a lot slower, the action is not as exciting and as well choreographed and there is not a lot of character development. This was apparently directed by the same guy responsible for further reducing the value of the TOHO monster franchise (if that is possible!). I agree with some other past reviewers who say that this was a lost opportunity. If only Ryuhei Kitamura continued with this installment. There is however some beautiful Japanese forest scenery to look at while the slow action unfolds and we are introduced all too briefly to bit characters who quickly get killed off. Even the real bad guys, get killed off too easily without too much of a fight. The fight with the Spider guy (straight out of an episode of Monkey!) in the bamboo forest was about the only memorable fight scene. Wheras in Azumi 1 we had a climactic fight scene with barrel camera effects, Azumi 2 brought us the Azumi cape cam!! Azumi's rampage at the end was unconvincing, but Aya still does an okay job. She looks great in the cape...but where did she get it from? I don't think i will be watching this one over and over again! ...what a pity.","I loved watching the original Azumi with its mix of live action manga, compelling storyline, cool soundtrack, directing (Kitamura rocks!), editing, and not to mention the beautiful Aya Ueto who filled the part perfectly. So I was really looking forwards to seeing Azumi 2, but after finally seeing it I felt like i had won the lotto and lost the ticket:( Azumi 2 picks up where Azumi left off, however these are fully 2 different films. The pace is a lot slower, the actions is not as enthralling and as well choreographed and there is not a lot of characters development. This was apparently directed by the same guy responsible for further reducing the valuing of the TOHO monsters franchise (if that is possible!). I agree with some other bygone reviewers who say that this was a lost opportunity. If only Ryuhei Kitamura continued with this installment. There is however some beautiful Japans forest scenery to look at while the slows actions unfolds and we are introduced all too briefly to bit characters who quickly get killed off. Even the real bad guys, get killed off too easily without too much of a fight. The fight with the Spider guy (straight out of an episode of Monkey!) in the bamboo forest was about the only memorable fight scene. Wheras in Azumi 1 we had a climactic fight scene with barrel camera effects, Azumi 2 brought us the Azumi cape cam!! Azumi's rampage at the end was unconvincing, but Aya still does an okay job. She looks great in the cape...but where did she get it from? I don't think i will be watching this one over and over again! ...what a pity.",0.804332971572876,0.5183155536651611,0.96,"imdb"
32,0.0,1.0,"I visited the dealership a couple of weeks ago and spoke to a salesman (Kevin) for a bit. He took my contact info and bike preferences. I was looking for a new Dyna Switchback. Unfortunately he never contacted me. About a week later I received a call from a woman asking how my experience was at the dealership. Needless to say I expressed my disappointment! She said she would check into it and have someone contact me. As of today, still no call! A big thank you for not calling me back! I found my bike during my first visit to your competitors dealership! Not only was it priced right, the customer service was Top Notch! You should consider improving on customer service, as that's what keeps people coming back!! Best of luck!","I visited the dealership a couple of weeks ago and spoke to a salesperson (Kevin) for a bit. He took my contacting info and bike preferences. I was looking for a newer Dyna Switchback. Unfortunately he never contacted me. About a week later I received a call from a woman asking how my experiences was at the dealership. Needless to say I expressed my disillusionment! She said she would check into it and have someone contacting me. As of today, still no call! A big thank you for not calling me back! I found my bike during my first visit to your competitors dealership! Not only was it priced right, the customers service was Top Notch! You should consider improving on customers service, as that's what keeps people coming back!! Best of luck!",0.9588493704795836,0.559787392616272,0.95,"yelp-sentiment"
31,1.0,0.0,"Cinderella was one of the first movies I ever saw, and to me it is timeless. It is a lovely looking film, with gorgeous animation. My favourite animation scene was the dress scene- I just love those mice. The songs are also lovely, not as good as Snow White's, but they are a delight to sing, and are reminiscent of Tchaikovsky. A dream is a Wish and So this is love? are standouts. The characters are also a delight. Cinderella is idealistic and strong, and the mice provided great comic relief. The stepsisters were also well done, as well as Lucifer. But I loved the stepmother the best, she was really evil, in comparison to a great character in the name of the Fairy Godmother. It is true, the movie drags slightly, with the antics of the mice, but they were genuinely funny, so I don't care. I don't think it is overrated, underrated don't you mean? It rarely plays on television, but the really bad sequel does on Cinemagic on a regular basis. if you want a great Cinderella adaptation, try the wonderful Ever After, or the lavish Slipper and the Rose, which isn't as good. But whatever you do, avoid the sequel, which I have the mistake of owning, because you'll thank me. 9/10. Bethany Cox","Cinderella was one of the first movies I ever saw, and to me it is timeless. It is a ravishing looking movies, with sumptuous animate. My preferred animated scene was the dress scene- I just loves those mice. The songs are also lovely, not as good as Snow White's, but they are a delight to sing, and are reminiscent of Tchaikovsky. A dream is a Wish and So this is love? are standouts. The character are also a delight. Cinderella is idealistic and strong, and the mice provided grand comic relief. The stepsisters were also well done, as well as Lucifer. But I adore the stepmother the best, she was truly evil, in comparison to a grand character in the name of the Fairy Godmother. It is truthful, the film drags marginally, with the antics of the mice, but they were really funny, so I don't care. I don't think it is overrated, underrated don't you mean? It rarely plays on television, but the truly bad sequel does on Cinemagic on a regular groundwork. if you wanna a great Cinderella adaptation, try the wonderful Ever After, or the lavish Slipper and the Rose, which isn't as good. But whatever you do, avoid the sequel, which I have the mistake of owning, because you'll thank me. 9/10. Bethany Cox",0.9790679216384888,0.5141742825508118,0.97,"imdb"
12,1.0,0.0,"You'll never find a place with this many pins in the same location. I had fun, but wished they wouldn't donate so much money and spend some of it buying parts to keep the pins in better condition. If you have half a million to give to the salvation army, you have money to put into your pins. Although there is overflow at the Riviera casino on the other end of the strip, they are in even worse shape, so not sure it's worth heading over there. I wrote a longer review on my blog: http://ilpinballclub.blogspot.com/2012/05/trip-to-pinball-hall-of-fame.html","You'll never find a place with this many pins in the same location. I had amusing, but wanted they wouldn't donate so much money and spend some of it buying parts to keep the pins in better condition. If you have half a million to give to the salvation army, you have money to put into your pins. Although there is overflow at the Riviera casino on the other end of the strip, they are in even worse shape, so not sure it's worth heading over there. I wrote a longer review on my blog: http://ilpinballclub.blogspot.com/2012/05/trip-to-pinball-hall-of-fame.html",0.9057888984680176,0.5445694923400879,0.96,"yelp-sentiment"
42,1.0,0.0,"I was lucky enough to get to see this film many years ago in England. I've seen hundreds of films since,but I've never forgotten this one.Although Sinatra was playing a not very endearing character,he was excellent in the role.A lot of people seem to think that he did'nt really come into his own until his role in ""From Here To Eternity"" but in my opinion he was magnificent in Concho.The other role that sticks in my mind is that of William Conrad.I'd never see or heard of him before this film. Conrad plays a terrific part in this film.I remember his deep and gravelly voice and he uses it beautifully to enhance the few words he speaks with a menace that sets the tone of his character.Also I remember the music, that both introduces Conrad and and seems to surround him whenever he appears.An excellent film and my only disappointment was that I never ever got the chance to see it again. It seems to have disappeared from the face of the earth. I see in the titles that it says that the film is in black and white but when I saw it was indeed in full color, I remember Sinatra's blue shirt.","I was lucky enough to got to see this movie several years ago in England. I've seen hundreds of movie since,but I've never forgotten this one.Although Sinatra was play a not very endearing personages,he was excellent in the role.A batch of people seem to thought that he did'nt truly coming into his own until his role in ""From Here To Eternity"" but in my view he was terrific in Concho.The other role that sticks in my mind is that of William Conrad.I'd never see or heard of him before this film. Conrad plays a sumptuous part in this film.I remember his deep and gravelly voice and he usage it admirably to augment the few words he talking with a threat that sets the tone of his nature.Also I remember the music, that both introduce Conrad and and seem to surround him whenever he appears.An awesome movie and my only disappointment was that I never ever got the chance to behold it again. It seems to have disappeared from the face of the earth. I see in the titles that it said that the movie is in black and white but when I saw it was indeed in full colored, I remember Sinatra's blue shirt.",0.988538146018982,0.5157535076141357,0.95,"imdb"
