"label_1","label_2","passage_1","passage_2","score_1","score_2"
0.0,0.0,"possibly the most irresponsible picture ever released by a major film studio .","possibly the most irresponsible picture ever released by a major film studio .","",""
0.0,1.0,"skip the [[film]] and buy the philip glass soundtrack cd .","skip the [[films]] and buy the philip glass soundtrack cd .",0.6150420904159546,0.5434655547142029
0.0,0.0,"it bites hard .","it bites hard .","",""
0.0,0.0,"for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/2-hour running time .","for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/2-hour running time .","",""
0.0,0.0,"makes for some truly odd , at times confusing , kids entertainment . . . but at least this time there's some centered storytelling to go along with all the weird stuff .","makes for some truly odd , at times confusing , kids entertainment . . . but at least this time there's some centered storytelling to go along with all the weird stuff .","",""
0.0,1.0,"the characters , cast in [[impossibly]] contrived [[situations]] , are totally estranged from [[reality]] .","the characters , cast in [[incredibly]] contrived [[circumstances]] , are totally estranged from [[realities]] .",0.7635942101478577,0.5034671425819397
0.0,1.0,"a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and [[despairing]] milieu .","a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and [[hopeless]] milieu .",0.8381213545799255,0.6943515539169312
0.0,0.0,"a technical triumph and an extraordinary bore .","a technical triumph and an extraordinary bore .","",""
0.0,0.0,"children and adults enamored of all things pokemon won't be disappointed .","children and adults enamored of all things pokemon won't be disappointed .","",""
0.0,1.0,"the [[film]] never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .","the [[films]] never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",0.5171865820884705,0.5871832966804504
0.0,0.0,"when your subject is illusion versus reality , shouldn't the reality seem at least passably real ?","when your subject is illusion versus reality , shouldn't the reality seem at least passably real ?","",""
0.0,0.0,"feels like the work of someone who may indeed have finally aged past his prime . . . and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .","feels like the work of someone who may indeed have finally aged past his prime . . . and , perhaps more than he realizes , just wants to be liked by the people who can still give him work .","",""
0.0,0.0,"you wonder why enough wasn't just a music video rather than a full-length movie .","you wonder why enough wasn't just a music video rather than a full-length movie .","",""
0.0,1.0,"an [[incredibly]] narrow in-joke [[targeted]] to the tiniest segment of an already obscure demographic .","an [[exceedingly]] narrow in-joke [[targets]] to the tiniest segment of an already obscure demographic .",0.8113101124763489,0.548679530620575
0.0,0.0,"the last three narcissists left on earth compete for each others' affections .","the last three narcissists left on earth compete for each others' affections .","",""
0.0,0.0,"your stomach for heaven depends largely on your appetite for canned corn .","your stomach for heaven depends largely on your appetite for canned corn .","",""
0.0,0.0,"this is the kind of movie where the big scene is a man shot out of a cannon into a vat of ice cream .","this is the kind of movie where the big scene is a man shot out of a cannon into a vat of ice cream .","",""
0.0,1.0,"it's sweet , harmless , dumb , [[occasionally]] funny and about as compelling as a [[fishing]] [[show]] .","it's sweet , harmless , dumb , [[sometimes]] funny and about as compelling as a [[fishery]] [[exposition]] .",0.7985507845878601,0.5199990272521973
0.0,1.0,"director boris von sychowski instead opts for a [[routine]] slasher film that was probably more fun to make than it is to sit through .","director boris von sychowski instead opts for a [[usual]] slasher film that was probably more fun to make than it is to sit through .",0.7428881525993347,0.6457077860832214
0.0,1.0,"a film of empty , fetishistic violence in which [[murder]] is casual and fun .","a film of empty , fetishistic violence in which [[murders]] is casual and fun .",0.5539860725402832,0.6040359139442444
0.0,1.0,"a [[monster]] combat thriller as impersonal in its relentlessness as the videogame [[series]] that inspired it .","a [[monsters]] combat thriller as impersonal in its relentlessness as the videogame [[serial]] that inspired it .",0.5568392276763916,0.7585399746894836
0.0,0.0,"although it tries to be much more , it's really just another major league .","although it tries to be much more , it's really just another major league .","",""
0.0,0.0,"it doesn't matter that the film is less than 90 minutes . it still feels like a prison stretch .","it doesn't matter that the film is less than 90 minutes . it still feels like a prison stretch .","",""
0.0,0.0,"[johnnie to and wai ka fai are] sure to find an enthusiastic audience among american action-adventure buffs , but the film's interests may be too narrow to attract crossover viewers .","[johnnie to and wai ka fai are] sure to find an enthusiastic audience among american action-adventure buffs , but the film's interests may be too narrow to attract crossover viewers .","",""
0.0,0.0,"showtime's starry cast could be both an asset and a detriment . those who trek to the 'plex predisposed to like it probably will enjoy themselves . but ticket-buyers with great expectations will wind up as glum as mr . de niro .","showtime's starry cast could be both an asset and a detriment . those who trek to the 'plex predisposed to like it probably will enjoy themselves . but ticket-buyers with great expectations will wind up as glum as mr . de niro .","",""
0.0,0.0,"with rare birds , as with the shipping news before it , an attempt is made to transplant a hollywood star into newfoundland's wild soil -- and the rock once again resists the intrusion .","with rare birds , as with the shipping news before it , an attempt is made to transplant a hollywood star into newfoundland's wild soil -- and the rock once again resists the intrusion .","",""
0.0,0.0,"while this one gets off with a good natured warning , future lizard endeavors will need to adhere more closely to the laws of laughter","while this one gets off with a good natured warning , future lizard endeavors will need to adhere more closely to the laws of laughter","",""
0.0,1.0,"feels [[strangely]] hollow at its emotional core .","feels [[weirdly]] hollow at its emotional core .",0.6129682660102844,0.5055989027023315
0.0,0.0,"a weird little movie that's amusing enough while you watch it , offering fine acting moments and pungent insights into modern l . a . 's show-biz and media subcultures . but it doesn't leave you with much .","a weird little movie that's amusing enough while you watch it , offering fine acting moments and pungent insights into modern l . a . 's show-biz and media subcultures . but it doesn't leave you with much .","",""
0.0,1.0,"sheridan . . . smoothes over sources of conflict that could have lent the [[film]] a bit more depth .","sheridan . . . smoothes over sources of conflict that could have lent the [[films]] a bit more depth .",0.521270215511322,0.5003477334976196
0.0,0.0,"too slow for a younger crowd , too shallow for an older one .","too slow for a younger crowd , too shallow for an older one .","",""
0.0,0.0,"needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion 'grandeur' shots and quick-cut edits that often detract from the athleticism .","needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion 'grandeur' shots and quick-cut edits that often detract from the athleticism .","",""
