"","label_1","label_2","passage_1","passage_2","score_1","score_2","SE_Thresh","dataset","SE_Model"
0,0.0,1.0,"suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .","suffocated at conception by its munchausen-by-proxy mother . punish the vehicle to love the star .",0.9673298597335817,0.7161009907722473,0.98,"mr","BERT"
1,0.0,1.0,"supposedly , pokemon can't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over .","supposedly , pokemon can't be assassinate , but pokemon 4ever virtually assures that the pocket monster movie franchise is almost ready to keel over .",0.64548259973526,0.5011101961135864,0.98,"mr","BERT"
2,0.0,1.0,"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [kim] initiates to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a cost to pay for a shimmering photograph postcard .",0.6607574820518494,0.6126538515090942,0.98,"mr","BERT"
3,0.0,1.0,"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",0.6200727820396423,0.8267480283975601,0.98,"mr","BERT"
4,0.0,1.0,"the film would work much better as a video installation in a museum , where viewers would be free to leave . immediately .","the films would work much better as a video installation in a museum , where viewers would be free to leave . straightaway .",0.6050938367843628,0.5196623206138611,0.98,"mr","BERT"
0,0.0,1.0,"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to reveal it .",0.5010329484939575,0.5696282386779785,0.98,"mr","BERT"
0,0.0,1.0,"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .","while holm is wonderful as both men and hjejle quite appealing , the films fail to make the most out of the intriguing premise .",0.9721590876579284,0.5449804365634918,0.98,"mr","BERT"
1,0.0,1.0,"like its title character , esther kahn is unusual but unfortunately also irritating .","like its title personages , esther kahn is unusual but regrettably also annoying .",0.6712830662727356,0.5741800367832184,0.98,"mr","BERT"
2,0.0,1.0,"the film is really closer to porn than a serious critique of what's wrong with this increasingly pervasive aspect of gay culture .","the film is really closer to porn than a serious critique of what's amiss with this increasingly pervasive aspect of gay culture .",0.7870722413063049,0.6483948826789856,0.98,"mr","BERT"
3,0.0,1.0,"a movie that the less charitable might describe as a castrated cross between highlander and lolita .","a film that the less charitable perhaps describe as a castrated crossing between highlander and lolita .",0.7130239009857178,0.6605680882930756,0.98,"mr","BERT"
0,0.0,1.0,"an awful movie that will only satisfy the most emotionally malleable of filmgoers .","an awful films that will only satisfy the most emotionally malleable of filmgoers .",0.5395277738571167,0.5621984899044037,0.98,"mr","BERT"
0,0.0,1.0,"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",0.6895306706428528,0.6639524102210999,0.98,"mr","BERT"
0,0.0,1.0,"strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery .","strong setup and ambitious aims fade as the films descends into unsophisticated frighten tactics and b-films thuggery .",0.6755760312080383,0.551697313785553,0.98,"mr","BERT"
0,0.0,1.0,"there are touching moments in etoiles , but for the most part this is a dull , dour documentary on what ought to be a joyful or at least fascinating subject .","there are touching moments in etoiles , but for the most part this is a dull , dour documentary on what should to be a joyful or at least riveting subject .",0.9024124741554259,0.5752937495708466,0.98,"mr","BERT"
0,0.0,1.0,"sayles . . . once again strands his superb performers in the same old story .","sayles . . . once again strands his magnificent performers in the same old story .",0.5470570325851439,0.9511917121708392,0.98,"mr","BERT"
0,0.0,1.0,"instead of making his own style , director marcus adams just copies from various sources – good sources , bad mixture","instead of making his own styles , director marcus adams just copies from diverse provenance – good provenance , bad blends",0.9232240915298462,0.5142800807952881,0.98,"mr","BERT"
0,0.0,1.0,"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers .","a disappointment for those who love alternates versions of the bard , particularly ones that involve deep fryers and hamburgers .",0.5293691754341125,0.600338339805603,0.98,"mr","BERT"
0,0.0,1.0,"a hit- and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .","a hit- and-miss affair , perpetually fun but not as outrageous or funny as cho may have intended or as imaginative as one perhaps have hoped .",0.7434654831886292,0.6901021301746368,0.98,"mr","BERT"
0,0.0,1.0,"a monster combat thriller as impersonal in its relentlessness as the videogame series that inspired it .","a monster combating thriller as impersonal in its relentlessness as the videogame series that inspired it .",0.5568386316299438,0.811061218380928,0.98,"mr","BERT"
0,0.0,1.0,"a film of empty , fetishistic violence in which murder is casual and fun .","a film of empty , fetishistic violence in which murders is casual and fun .",0.5539858937263489,0.6040367484092712,0.98,"mr","BERT"
0,0.0,1.0,"affleck merely creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .","affleck simply creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",0.5793439745903015,0.966342944651842,0.98,"mr","BERT"
0,0.0,1.0,"feels strangely hollow at its emotional core .","feels weirdly hollow at its emotional core .",0.6129682064056396,0.5055994987487793,0.98,"mr","BERT"
1,0.0,1.0,"sheridan . . . smoothes over sources of conflict that could have lent the film a bit more depth .","sheridan . . . smoothes over origins of conflict that could have lent the film a bit more depth .",0.5212703347206116,0.5911670625209808,0.98,"mr","BERT"
0,0.0,1.0,"the isolated moments of creative insanity finally are lost in the thin soup of canned humor .","the isolated moments of inventive madness lastly are lost in the thin soup of canned humor .",0.7511694431304932,0.5060634315013885,0.98,"mr","BERT"
1,0.0,1.0,"it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and harder to understand her choices .","it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and stricter to understand her choices .",0.5900141596794128,0.5867220163345337,0.98,"mr","BERT"
