index,text,label
0,the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,real
1,"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration .",real
2,"watching it is rather like an overlong visit from a large group of your relatives . as your relatives swap one mundane story after another , you begin to wonder if they are ever going to depart .",real
3,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and thoughtless .,fake
4,hilarious musical comedy though impeded by accents thick as mud .,fake
5,a sleek advert for youthful anomie that never quite equals the sum of its pretensions .,real
6,suffocated at conception by its munchausen-by-proxy mother . punishes the vehicle to love the star .,fake
7,"the most memorable moment was when green threw medical equipment at a window ; not because it was specially funny , but because i ha a serious urges to grab the elderly lady at the end of my aisle's walker and toss it at the screen in frustration .",fake
8,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theaters and shout , 'hey , kool-aid ! '",fake
9,"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .",real
10,"at three hours and with very little stories or character evolution , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without compromising any of the cultural intrigue .",fake
11,suffocated at conception by its munchausen-by-proxy mum . punish the vehicle to adore the star .,real
12,"affleck simply creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",fake
13,"filmmakers have to dig deep to sink this low . fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water .",real
14,"a film of empty , fetishistic violence in which killing is casual and fun .",fake
15,"schnitzler's film has a great hook , some clever bits and well-drawn , if standard issue , characters , but is still only partly satisfying .",real
16,"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject .",real
17,"this movie , a certain scene in particular , brought me uncomfortably close to lose my lunches .",fake
18,a movie that the less charitable might describe as a castrated cross between highlander and lolita .,real
