"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.index","Input.text","Input.label","Answer.sentiment.label","Approve","Reject"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","345LHZDEDXSJ53XL3NYC911D236U3O","ATBGHQ2VYNIVZ","Submitted","Sun Dec 08 08:16:06 PST 2019","Sun Dec 08 08:16:32 PST 2019","Wed Dec 11 08:16:32 PST 2019","","","","26","0% (0/0)","0% (0/0)","0% (0/0)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Computer-altered"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3DI28L7YXAE664MKQJ5OHQ0DIVYE1Z","A2HM35CWB7IIFM","Submitted","Sun Dec 08 08:13:10 PST 2019","Sun Dec 08 08:13:14 PST 2019","Wed Dec 11 08:13:14 PST 2019","","","","4","100% (229/229)","100% (6/6)","100% (6/6)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Real"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3GFK2QRXX9HZBM9UC6166MKU1F65WM","A1YSYI926BBOHW","Submitted","Sun Dec 08 07:45:53 PST 2019","Sun Dec 08 07:46:19 PST 2019","Wed Dec 11 07:46:19 PST 2019","","","","26","100% (1660/1660)","100% (160/160)","100% (160/160)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Real"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3I2PTA7R3TUX98YB7K66GMLQA4LQKP","A2OAZPREKF6PQR","Submitted","Sun Dec 08 08:08:49 PST 2019","Sun Dec 08 08:08:55 PST 2019","Wed Dec 11 08:08:55 PST 2019","","","","6","100% (1/1)","0% (0/0)","0% (0/0)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Computer-altered"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3IAS3U3I0FGFOMSWZW3CL14X74Y2B3","A1V2M2C00I5SWW","Submitted","Sun Dec 08 07:54:31 PST 2019","Sun Dec 08 07:54:54 PST 2019","Wed Dec 11 07:54:54 PST 2019","","","","23","0% (0/0)","0% (0/0)","0% (0/0)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Real"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3K3R2QNK8B35K5M1KWZM0E4Z2VGU95","AFKZZEURTCR8U","Submitted","Sun Dec 08 08:17:01 PST 2019","Sun Dec 08 08:17:08 PST 2019","Wed Dec 11 08:17:08 PST 2019","","","","7","100% (5/5)","0% (0/0)","0% (0/0)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Computer-altered"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3OLQQLKKNSPD1L2OG8BULQWZCCXJE7","AJDXSXAWDDAEO","Submitted","Sun Dec 08 08:02:59 PST 2019","Sun Dec 08 08:04:38 PST 2019","Wed Dec 11 08:04:38 PST 2019","","","","99","100% (12/12)","0% (0/0)","0% (0/0)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Real"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3UOUJI6MTDEVL14ZNC50GHQH9Y6XUQ","ATHS9GUME1XCA","Submitted","Sun Dec 08 08:08:23 PST 2019","Sun Dec 08 08:08:49 PST 2019","Wed Dec 11 08:08:49 PST 2019","","","","26","100% (41/41)","100% (37/37)","100% (37/37)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Computer-altered"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3XLBSAQ9Z4CISLSIBM0A3AS89N77ZV","A1GKEEI844CEKI","Submitted","Sun Dec 08 08:10:58 PST 2019","Sun Dec 08 08:11:21 PST 2019","Wed Dec 11 08:11:21 PST 2019","","","","23","100% (35/35)","0% (0/0)","0% (0/0)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Real"
"3GL25Y6843U9M91WO89D0ND0G1TMXX","373P3486EFNQNDXGX39N28KM04A8CD","Guess reviews are real or fake","You will be randomly shown an online movie review. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.","real, computer_altered, text","$0.05","Sun Dec 08 07:45:47 PST 2019","10","BatchId:3862697;OriginalHitTemplateId:928390909;","180","259200","Mon Dec 09 01:45:47 PST 2019","","","3Z2R0DQ0JHEDVP4G9N52M9AIA1C2E4","A1NF6PELRKACS9","Submitted","Sun Dec 08 08:08:31 PST 2019","Sun Dec 08 08:09:25 PST 2019","Wed Dec 11 08:09:25 PST 2019","","","","54","100% (34/34)","0% (0/0)","0% (0/0)","0","the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","real","Computer-altered"
