,label_1,label_2,passage_1,passage_2,score_1,score_2,SE_Thresh,dataset
0,0.0,1.0,"despite her relentless vim and winsome facial symmetry , witherspoon is just too dialed-up to be america's sweetheart .","despite her unceasing vim and winsome facial symmetry , witherspoon is just too dialing-up to be america's sweetheart .",0.8360180854797363,0.6107491850852966,0.99,mr
1,0.0,1.0,"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '","when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theaters and shout , 'hey , kool-aid ! '",0.506639838218689,0.5178602337837219,0.99,mr
2,0.0,1.0,"that zhang would make such a strainingly cute film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .","that zhang would make such a strainingly adorable film -- with a blind orphan at its center , no less -- indicates where his ambitions have wandered .",0.6508496403694153,0.6314517855644226,0.99,mr
3,0.0,1.0,will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who might be lured in by julia roberts . . .,will be far more interesting to the soderbergh faithful than it will be to the casual moviegoer who potentially be lured in by julia roberts . . .,0.5599269270896912,0.5708273649215698,0.99,mr
4,0.0,1.0,"the notion of deleting emotion from people , even in an advanced prozac nation , is so insanely dysfunctional that the rampantly designed equilibrium becomes a concept doofus .","the notion of deleting emotion from people , even in an advanced prozac nation , is so unbelievably dysfunctional that the rampantly designed equilibrium becomes a concepts moron .",0.79984050989151,0.5933552384376526,0.99,mr
5,0.0,1.0,hilarious musical comedy though stymied by accents thick as mud .,hilarious musical comedy though impeded by accents thick as mud .,0.8215643763542175,0.6853391528129578,0.99,mr
6,0.0,1.0,a film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .,a film that plays things so nice 'n safe as to often playing like a milquetoast film of the week blown up for the big screen .,0.5988157987594604,0.5845674872398376,0.99,mr
7,0.0,1.0,"this is not the undisputed worst boxing movie ever , but it's certainly not a champion - the big loser is the audience .","this is not the undisputed worst boxing film ever , but it's unquestionably not a champion - the big loser is the audience .",0.591543972492218,0.6257689595222473,0.99,mr
8,0.0,1.0,"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .","this movie , a certain scene in particular , brought me uncomfortably close to lose my lunch .",0.6151602268218994,0.5037927627563477,0.99,mr
9,0.0,1.0,"mr . wedge and mr . saldanha handle the mix of verbal jokes and slapstick well . their film falters , however , in its adherence to the disney philosophy of required poignancy , a salute that i'd hoped the movie would avoid .","mr . wedge and mr . saldanha handles the blending of verbal jokes and slapstick well . their films falters , however , in its adherence to the disney philosophy of needed poignancy , a salute that i'd hoped the movie would avert .",0.7672207355499268,0.6000005602836609,0.99,mr
10,0.0,1.0,"when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .","when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama commence gasping like a beached grouper .",0.586402952671051,0.5217190384864807,0.99,mr
11,0.0,1.0,the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script error . ',the movie's progression into rambling incoherence gives new meaning to the phrase 'fatal script errors . ',0.6627405881881714,0.5294916629791261,0.99,mr
12,0.0,1.0,"from the opening scenes , it's clear that all about the benjamins is a totally formulaic movie .","from the opening scenes , it's clear that all about the benjamins is a fully formulaic movie .",0.6948366761207581,0.6273473501205444,0.99,mr
13,0.0,1.0,"there's a solid woman- finding-herself story somewhere in here , but you'd have to dig pretty deep to uncover it .","there's a solid woman- finding-herself story somewhere in here , but you'd have to dig quite deep to uncover it .",0.5010329484939575,0.5562074184417725,0.99,mr
14,0.0,1.0,"supposedly , pokemon can't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over .","supposedly , pokemon can't be killed , but pokemon 4ever nigh assures that the pocket monster movie franchise is approximately ready to keel over .",0.64548259973526,0.593647301197052,0.99,mr
15,0.0,1.0,"the film would work much better as a video installation in a museum , where viewers would be free to leave . immediately .","the film would work much better as a video installation in a museum , where viewers would be free to leaving . forthwith .",0.6050938367843628,0.5118105411529541,0.99,mr
0,0.0,1.0,"the film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .","the film never gets over its owned investment in conventional arrangement , in terms of love , age , gender , races , and class .",0.51718670129776,0.5055392384529114,0.99,mr
1,0.0,1.0,feels strangely hollow at its emotional core .,feels weirdly hollow at its emotional core .,0.6129682064056396,0.5055990219116211,0.99,mr
2,0.0,1.0,"affleck merely creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .","affleck exclusively creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",0.5793439745903015,0.9902974963188172,0.99,mr
3,0.0,1.0,it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and harder to understand her choices .,it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and tougher to understand her choices .,0.5900141596794128,0.5346536636352539,0.99,mr
4,0.0,1.0,"filmmakers have to dig deep to sink this low . fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water .","filmmakers have to dig deep to sinking this low . fortunately for all involved , this movie is likely to disappearing as speedily as an ice cube hurled into a pot of boiling water .",0.7741508483886719,0.5907172560691833,0.99,mr
5,0.0,1.0,the big-screen scooby makes the silly original cartoon seem smart and well-crafted in comparison .,the big-screen scooby makes the silly original cartoon seems smart and well-crafted in compares .,0.7297303676605225,0.6846239566802979,0.99,mr
6,0.0,1.0,an uneven film dealing with too many problems to be taken seriously .,an uneven film deal with too many problems to be taken seriously .,0.5725924372673035,0.8956670761108398,0.99,mr
7,0.0,1.0,"there's no denying the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .","there's no denying the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsensical , lavishly praised by those who equate obscurity with profundity .",0.7951591014862059,0.5221647024154663,0.99,mr
8,0.0,1.0,this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,this hideously earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .,0.8759059309959412,0.6029030084609985,0.99,mr
9,0.0,1.0,"when it comes to entertainment , children deserve better than pokemon 4ever .","when it comes to entertainment , kids deserves better than pokemon 4ever .",0.6555735468864441,0.5687931776046753,0.99,mr
10,0.0,1.0,"ice age is the first computer-generated feature cartoon to feel like other movies , and that makes for some glacial pacing early on .","ice age is the first computer-generated features cartoon to feel like other movies , and that makes for some glacial pacing early on .",0.5321614742279053,0.5278273224830627,0.99,mr
11,0.0,1.0,"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers .","a disappointment for those who love alternate versions of the bard , especially ones that involving deep fryers and hamburgers .",0.5293691754341125,0.5293906927108765,0.99,mr
12,0.0,1.0,sayles . . . once again strands his superb performers in the same old story .,sayles . . . once again strands his excellent performers in the same old story .,0.5470570325851439,0.9204471111297609,0.99,mr
0,0.0,1.0,"I bought this film on DVD so I could get an episode of Mystery Science Theater 3000. Thankfully, Mike, Crow, and Tom Servo are watchable, because the film itself is not. Although there is a plot, a story one can follow, and a few actors that can act, there isn't anything else. The movie was so boring, I have firmly confirmed that I will never watch it again without Tom, Crow and Mike. As summarized above, however, it was better than the film featured in the MST3K episode that preceded it; Mitchell.","I bought this film on DVD so I could get an episode of Mystery Science Theater 3000. Fortunately, Mike, Crow, and Tom Servo are watchable, because the movie itself is not. Although there is a plot, a story one can follow, and a few actors that can acts, there isn't anything else. The film was so boring, I have powerfully confirmed that I will never watch it again without Tom, Crow and Mike. As summarized above, however, it was better than the film featured in the MST3K episode that preceded it; Mitchell.",0.620864748954773,0.5098332166671753,0.99,imdb
1,1.0,0.0,"What an overlooked 80's soundtrack. I imagine John Travolta sang some of the songs but in watching the movie it did seem to personify everything that was 80s cheese. Clearly movies that rely on mechanical bulls, bartenders and immature relationships were in style. The best was his lousy Texas accent. Compare that to Friday Night Lights.I suggest watching Cocktail and Stir Crazy to start really getting into the dumbing down of film. Also, as a side note Made in America with Ted Danson and Whoopie Goldberg is an awesomely bad movie. I was so shocked to realize I had never watched it. One more weird movie of this genre would have to include Cadilac Man with Robin Williams. Just remember all of these BIG stars played big roles in these CHEESY movies.. Tom Cruise, Richard Pryor, Robin Williams and John Travolta","What an overlooked 80's soundtrack. I imagine John Travolta sang some of the songs but in watching the movie it did seem to personify everything that was 80s cheese. Clearly movies that rely on mechanical bulls, bartenders and immature relationships were in style. The best was his lousy Texas accent. Compare that to Friday Night Lights.I suggest watching Cocktail and Stir Crazy to start really getting into the dumbing down of film. Also, as a side note Made in America with Ted Danson and Whoopie Goldberg is an awesomely bad film. I was so shocked to realizing I had never watched it. One more weird movie of this genre would have to include Cadilac Man with Robin Williams. Just remember all of these BIG stars played big roles in these CHEESY movies.. Tom Cruise, Richard Pryor, Robin Williams and John Travolta",0.5200479626655579,0.6028201580047607,0.99,imdb
2,0.0,1.0,"A great opportunity for and Indy director to make an interesting film about a rock musician on the brink of stardom. It could have been a decent film if it would have dealt with John Livien's traumatic past and how it is torturing his psyche. Instead, it is a ridiculous attempt to identify John Livien's life with John Lennon's. John Livien's suicida mother's hero was John Lennon and she wished for him to become as powerful and prolific as Lennon himself. Instead of focusing on John Lennon's musical brilliance, and his wonderful ability to bare himself for others to learn something about their own life, it showed Lennon's legacy to be that of a confused, drug addicted soul, who should looked upon as a God instead a man. I am a huge John Lennon fan and this movie reminded me of another ""crazy"" person obsessed with Lennon, Lennon's killer , Mark David Chapman. Lennon was a man who was brutally murdered by someone else who had an identity crisis with Lennon. Do we need to be reminded of that? John Lennon gave so much to the world with his music and honesty and I was repulsed to see another disturbed person, as the main character in this movie obsessed by Lennon, and not show his beautiful contributions to the world. Yoko Ono graciously honored John Lennon's memory,by making the memorial in Central Park to give his fans a chance to pay their respects, and remember John. Instead the director of this movie chose to use that site to have the killer attempt to commit suicide. I found this so disturbing and disrespectful to Lennon's memory. He was a man of peace who died a brutal senseless death, and to see such violence near this site felt like a revisiting a terrible wound for any Lennon fan. It ruined the movie completely for me . It could have been a decent movie, but it left me with a bitter taste in my mouth. Let John Lennon, and his family rest in peace and not be reminded of his vicious murder by this irresponsible movie.","A great opportunity for and Indy director to make an interesting film about a rock musician on the brink of stardom. It could have been a decent film if it would have dealt with John Livien's traumatic past and how it is torturing his psyche. Instead, it is a ridiculous attempt to identify John Livien's life with John Lennon's. John Livien's suicida mother's hero was John Lennon and she wished for him to become as powerful and prolific as Lennon himself. Instead of concentrating on John Lennon's musical brilliance, and his splendid capacity to bare himself for others to learning something about their own life, it showed Lennon's legacy to be that of a confused, drugs addicted soul, who should looked upon as a God instead a man. I am a monumental John Lennon fan and this movie reminded me of another ""madmen"" individuals obsessed with Lennon, Lennon's murderer , Mark David Chapman. Lennon was a man who was cruelly killed by someone else who had an identity crisis with Lennon. Do we need to be reminded of that? John Lennon gave so much to the world with his music and honesty and I was repulsed to see another disturbed persons, as the main character in this movie obsessed by Lennon, and not show his beautiful contributions to the world. Yoko Ono graciously honored John Lennon's memory,by making the memorial in Central Park to give his fans a chance to pay their respects, and remember John. Instead the director of this movie chose to use that site to have the killer attempt to commit suicide. I found this so disturbing and disrespectful to Lennon's memory. He was a man of peace who died a brutal senseless death, and to see such violence near this site felt like a revisiting a terrible wound for any Lennon fan. It ruined the movie completely for me . It could have been a decent movie, but it left me with a bitter taste in my mouth. Let John Lennon, and his family rest in peace and not be reminded of his vicious murder by this irresponsible movie.",0.6579901576042175,0.5405806303024292,0.99,imdb
