"label_1","label_2","passage_1","passage_2","score_1","score_2"
0.0,1.0,"[[OK]], so check this out. I know I [[have]] been long dormant with the Yelp reviews (bad [[girl]], BAD [[GIRL]]!), so to make it up to ya'll, I am now embarking on a casino-by-casino tour of my [[new]] hometown of LV, NV, and will include reviews of each as I tour them. Now, these will not include room stays, but just schlepping around the premises - eating, drinking, and checking out anything that moves or doesn't move. Got it? [[OK]], [[let]]'s proceed... [[Review]] #21: walk in this small place (which is wedged between Harrah's and the Venetian), and you will forget you are on the fabulous [[Las]] Vegas Strip, and you'll [[soon]] think you are at a divey off-strip casino that hasn't changed it's d\u00e9cor in 40 years; this place is a real hole, and a total anachronism; I'm sure some people [[love]] cheap & smokey retro joints like this, but I [[say]] it's time to nuke it!; attached to the luxurious Best Western, whose lobby looks like, well, an [[old]] Best Western; the ""store"" is cheezy & cheap Vegas crap; there are supposedly $1 Michelob bottles at the bar, but somehow I resisted; and the top-shelf steakhouse here is...wait for it...The Outback!; best craft beer list = check this out, I actually saw the following 4-tap draft beer line-up - Bud, Bud Light, Coors Light, Miller Lite; luckily just then, a wormhole opened up in the fabric of the universe and I escaped out onto The Strip, never to return!","[[ALRIGHT]], so check this out. I know I [[ha]] been long dormant with the Yelp reviews (bad [[daughter]], BAD [[GIRLS]]!), so to make it up to ya'll, I am now embarking on a casino-by-casino tour of my [[newest]] hometown of LV, NV, and will include reviews of each as I tour them. Now, these will not include room stays, but just schlepping around the premises - eating, drinking, and checking out anything that moves or doesn't move. Got it? [[ALRIGHT]], [[letting]]'s proceed... [[Revisited]] #21: walk in this small place (which is wedged between Harrah's and the Venetian), and you will forget you are on the fabulous [[La]] Vegas Strip, and you'll [[shortly]] think you are at a divey off-strip casino that hasn't changed it's d\u00e9cor in 40 years; this place is a real hole, and a total anachronism; I'm sure some people [[adores]] cheap & smokey retro joints like this, but I [[said]] it's time to nuke it!; attached to the luxurious Best Western, whose lobby looks like, well, an [[ancient]] Best Western; the ""store"" is cheezy & cheap Vegas crap; there are supposedly $1 Michelob bottles at the bar, but somehow I resisted; and the top-shelf steakhouse here is...wait for it...The Outback!; best craft beer list = check this out, I actually saw the following 4-tap draft beer line-up - Bud, Bud Light, Coors Light, Miller Lite; luckily just then, a wormhole opened up in the fabric of the universe and I escaped out onto The Strip, never to return!",0.7448527216911316,0.5375398993492126
1.0,0.0,"Walked in with no reservation and we were seated straight away. It was a little before the normal dinner crowd which [[might]] [[explain]] the no waiting. Everything is a la carte so for the main course I ordered a petite fillet and my wife ordered a seared Tuna mignon au poivre with tomato sherry vinaigrette, we also ordered the Flemings potatoes which turned out to be scalloped potatoes. The steak and the potatoes were done perfectly, however the Tuna was not what we expected. I would not call it seared as much as I would say it waved hello at a pan on its way to the plate. The entire thing was [[really]] cold - not cool - [[cold]] and the vinaigrette was over powering. We sent it back with the same [[comments]] and [[asked]] for the topping on the side the next time which really [[helped]]. Even the second time around the tuna could have been warmer but it had very good taste. Entire meal with a couple of [[drinks]] was $130ish. With it all [[said]] and done I would go back with no hesitation.","Walked in with no reservation and we were seated straight away. It was a little before the normal dinner crowd which [[maybe]] [[explaining]] the no waiting. Everything is a la carte so for the main course I ordered a petite fillet and my wife ordered a seared Tuna mignon au poivre with tomato sherry vinaigrette, we also ordered the Flemings potatoes which turned out to be scalloped potatoes. The steak and the potatoes were done perfectly, however the Tuna was not what we expected. I would not call it seared as much as I would say it waved hello at a pan on its way to the plate. The entire thing was [[genuinely]] cold - not cool - [[frigid]] and the vinaigrette was over powering. We sent it back with the same [[remarks]] and [[asks]] for the topping on the side the next time which really [[help]]. Even the second time around the tuna could have been warmer but it had very good taste. Entire meal with a couple of [[beverages]] was $130ish. With it all [[say]] and done I would go back with no hesitation.",0.9472051858901978,0.5564021468162537
1.0,0.0,"Open, [[Open]], Open. Coffee Bean and Tea Leaf in the Palazzo just opened last nite at the [[ungodly]] Vegas hour of like 11pm. Of course, after walking by it for days staring at the unopened storefront, we HAD to [[stop]] in when we saw their [[beautiful]] lit sign and actual people inside. Cream Cheese Cinnamon Roll is the CLEAR winner at the CB's and this one is no different. GET IT. If not, the [[massive]] slab of coffee cake looked like a good runner up for fat-package-on-assage and artery cloggage. [[Try]] the Moroccan Mint Tea Latte, MUST HAVE. Could [[use]] a bit more caffeine for sure though....not sure it's an AM thing, I need more leaded in my mornings. Bonus for being green conscious, their bags and cups are made from 100% recycled products.","Open, [[Opened]], Open. Coffee Bean and Tea Leaf in the Palazzo just opened last nite at the [[godless]] Vegas hour of like 11pm. Of course, after walking by it for days staring at the unopened storefront, we HAD to [[stops]] in when we saw their [[handsome]] lit sign and actual people inside. Cream Cheese Cinnamon Roll is the CLEAR winner at the CB's and this one is no different. GET IT. If not, the [[hefty]] slab of coffee cake looked like a good runner up for fat-package-on-assage and artery cloggage. [[Attempting]] the Moroccan Mint Tea Latte, MUST HAVE. Could [[utilizing]] a bit more caffeine for sure though....not sure it's an AM thing, I need more leaded in my mornings. Bonus for being green conscious, their bags and cups are made from 100% recycled products.",0.9489855170249939,0.557478666305542
1.0,0.0,"i have to agree that the business sign for this massage place is very misleading. i have seen in many times and always thought it was a foot reflexology place as that is what it says it is. i did not know that i could get a [[body]] massage here until i looked up massage [[places]] on my yelp app! so i [[call]] them and the receptionist [[answers]]; she doesnt speak english.....she cannot [[tell]] me where she is located but is able to [[tell]] me they do walk-ins. so i go because i am in a lot of pain with my back today. i get there and the masseuse takes me back right away. her english is better but still difficult to [[understand]]. the massage was nice. i am not very experienced in the massage world but i can tell you this was different than others i [[have]] paid for. i [[have]] only ever gotten a swedish massage. i do not know what kind this was but it feel nice [[nonetheless]]. there is some slapping, a lot of rubbing, and some elbows and forearms. it did relieve a [[lot]] of my back [[pain]] and [[definitely]] relaxed me. the [[rooms]] are different. there is just a curtain for privacy and the music is coming from a central location. upon completion of my massage i had to write down how much i wanted charged to my card because the receptionist could not understand me. that was a little frustrating. she did give me a punch card though. buy 10 massages get one free. the cost for this ( 1 hour) was $50. I dont know if it was worth that because i have not compared the costs to other places, but i would probably return.","i have to agree that the business sign for this massage place is very misleading. i have seen in many times and always thought it was a foot reflexology place as that is what it says it is. i did not know that i could get a [[bodies]] massage here until i looked up massage [[locations]] on my yelp app! so i [[calling]] them and the receptionist [[reply]]; she doesnt speak english.....she cannot [[told]] me where she is located but is able to [[told]] me they do walk-ins. so i go because i am in a lot of pain with my back today. i get there and the masseuse takes me back right away. her english is better but still difficult to [[understanding]]. the massage was nice. i am not very experienced in the massage world but i can tell you this was different than others i [[ha]] paid for. i [[ha]] only ever gotten a swedish massage. i do not know what kind this was but it feel nice [[nevertheless]]. there is some slapping, a lot of rubbing, and some elbows and forearms. it did relieve a [[batch]] of my back [[pains]] and [[surely]] relaxed me. the [[room]] are different. there is just a curtain for privacy and the music is coming from a central location. upon completion of my massage i had to write down how much i wanted charged to my card because the receptionist could not understand me. that was a little frustrating. she did give me a punch card though. buy 10 massages get one free. the cost for this ( 1 hour) was $50. I dont know if it was worth that because i have not compared the costs to other places, but i would probably return.",0.7444616556167603,0.5034460425376892
0.0,1.0,"Really not [[great]] thinking we are talking about buffet in Vegas. The [[selection]] is very [[limited]]. Price is not bad.","Really not [[grand]] thinking we are talking about buffet in Vegas. The [[choosing]] is very [[restricted]]. Price is not bad.",0.9932333827018738,0.5034334659576416
0.0,0.0,"good for late night snack","good for late night snack","",""
1.0,0.0,"I love shopping at Goodwill, but this Goodwill I rarely find what I want. I was on my way to Target to get a coffee maker and [[thought]] I might stop here to see if I could quickly find one, but I couldn't. Personally, I haven't bought much from this Goodwill since it opened probably a year or so ago. However, the customer service at this Goodwill is [[excellent]]. People are always so cheerful and happy, personable. I just [[wish]] I could find stuff I like at this one, but alas, I can't. However, they do have a lot of stuff and things are fairly organized. So the [[excellent]] attitudes and customer [[service]] far out [[weigh]] everything else.","I love shopping at Goodwill, but this Goodwill I rarely find what I want. I was on my way to Target to get a coffee maker and [[thinks]] I might stop here to see if I could quickly find one, but I couldn't. Personally, I haven't bought much from this Goodwill since it opened probably a year or so ago. However, the customer service at this Goodwill is [[admirable]]. People are always so cheerful and happy, personable. I just [[wishing]] I could find stuff I like at this one, but alas, I can't. However, they do have a lot of stuff and things are fairly organized. So the [[admirable]] attitudes and customer [[servicing]] far out [[weighs]] everything else.",0.9309638738632202,0.5340326428413391
0.0,0.0,"The store is set up beautifully. You walk by & you can't help but stop in. Once inside, you realize all they have to sell is tees & bras & a few little trinkets. I was bummed that they didn't have more than what they did. The bras were all in itty bitty boobie sizes. I was hoping to buy some ultra sexy lingerie but was stunned that the store had none. They had one employee working & she was very friendly & helpful...not to mention Gorgeous... I think her name was Nikki. The prices are not competitive with the online gear at all. Everything in here is almost double what you'd pay online. They have an ultra sheek dressing room that's worth checking out though. :)","The store is set up beautifully. You walk by & you can't help but stop in. Once inside, you realize all they have to sell is tees & bras & a few little trinkets. I was bummed that they didn't have more than what they did. The bras were all in itty bitty boobie sizes. I was hoping to buy some ultra sexy lingerie but was stunned that the store had none. They had one employee working & she was very friendly & helpful...not to mention Gorgeous... I think her name was Nikki. The prices are not competitive with the online gear at all. Everything in here is almost double what you'd pay online. They have an ultra sheek dressing room that's worth checking out though. :)","",""
1.0,0.0,"For those parents who need to take kids in for their first haircut, or one of the first few haircuts, I strongly [[recommend]] a [[place]] like this. Cool Cuts has a nice play area for kids while they wait including video game stations for the older kids. A basic cut is $16.95 which is [[average]]. You can find cheaper prices at Stupidcuts and Hateclips, but you will make up the difference by waiting at least an hour for a moron to cut your child's hair badly, and your child being [[scared]] to death in the process. Spend a few bucks more and go to a shop that specializes in kids. The kids get to sit in a regular chair or a special car or airplane chair and watch a video from a decent selection while the snippers do their work. My little boy just had his third haircut ever, and Maryam (sic) did a [[great]] [[job]]. I [[think]] she set the land speed record for [[cutting]] hair. He was seated and done within 5 minutes, and all that while having a screaming fit the [[way]] only an 18 month old boy from my family can do. They will use scissors if the child can stand it, and clippers if she has a squirmer. I recommend calling ahead for a reservation or you will have to wait (or shop with your wife while waiting!).","For those parents who need to take kids in for their first haircut, or one of the first few haircuts, I strongly [[recommended]] a [[placing]] like this. Cool Cuts has a nice play area for kids while they wait including video game stations for the older kids. A basic cut is $16.95 which is [[averaging]]. You can find cheaper prices at Stupidcuts and Hateclips, but you will make up the difference by waiting at least an hour for a moron to cut your child's hair badly, and your child being [[frightened]] to death in the process. Spend a few bucks more and go to a shop that specializes in kids. The kids get to sit in a regular chair or a special car or airplane chair and watch a video from a decent selection while the snippers do their work. My little boy just had his third haircut ever, and Maryam (sic) did a [[grand]] [[jobs]]. I [[thoughts]] she set the land speed record for [[cut]] hair. He was seated and done within 5 minutes, and all that while having a screaming fit the [[manner]] only an 18 month old boy from my family can do. They will use scissors if the child can stand it, and clippers if she has a squirmer. I recommend calling ahead for a reservation or you will have to wait (or shop with your wife while waiting!).",0.9908720850944519,0.532657265663147
1.0,0.0,"Tucked away into this weird, completely out of the way, limited-access cop-road-block-breathilizer-worthy corner is a beer bar. It's a little metal and stone to be called a Biergarten, painted beech trees on black walls aside, especially since there's maybe two-three German ales on tap - but still, cool. Vegan's are going to have it a bit rough but there's plenty for the cheese loving set to scarf. Food prices are ridiculously low. And the pretzal....ah, the pretzal... is [[insane]]. Charred to black, sweet, yeasty, beer cheese skunky and mustardy. [[Fantastic]] with beer. Get it. Stay away from the latkes, meh, but the chips are good and crisp. And the burger, while veg and in no way healthy, was satisfying. Service was smiley and quick. There were many Affliction shirts stretched across many fake-tanned biceps on the night we went. Many crotch rockets parked in many annoying ways, all over the expansive lot. Both of those things scare me. Could've been Primus's fault, as they were playing next door. Fingers crossed. There isn't a TV in sight. I'm hoping this is deliberate, rather than ""whoops, the semi stuffed with flatscreens hasn't made it to town yet"". Prices are a bit high for CLT but not compared to surrounding establishments, so they'll do just fine at 6-7 average for a pint. There are many good brews to be had, but I wish for a few more exotics and high gravs. And surely, more German beers. C'mon now.","Tucked away into this weird, completely out of the way, limited-access cop-road-block-breathilizer-worthy corner is a beer bar. It's a little metal and stone to be called a Biergarten, painted beech trees on black walls aside, especially since there's maybe two-three German ales on tap - but still, cool. Vegan's are going to have it a bit rough but there's plenty for the cheese loving set to scarf. Food prices are ridiculously low. And the pretzal....ah, the pretzal... is [[mad]]. Charred to black, sweet, yeasty, beer cheese skunky and mustardy. [[Beautiful]] with beer. Get it. Stay away from the latkes, meh, but the chips are good and crisp. And the burger, while veg and in no way healthy, was satisfying. Service was smiley and quick. There were many Affliction shirts stretched across many fake-tanned biceps on the night we went. Many crotch rockets parked in many annoying ways, all over the expansive lot. Both of those things scare me. Could've been Primus's fault, as they were playing next door. Fingers crossed. There isn't a TV in sight. I'm hoping this is deliberate, rather than ""whoops, the semi stuffed with flatscreens hasn't made it to town yet"". Prices are a bit high for CLT but not compared to surrounding establishments, so they'll do just fine at 6-7 average for a pint. There are many good brews to be had, but I wish for a few more exotics and high gravs. And surely, more German beers. C'mon now.",0.9516552686691284,0.5087060332298279
