"original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text"
0.0,0.004594326019287109,"In Temple Bar , the bookshop at the Gallery of Photography carries a large selection of photographic publications , and the Flying Pig is a secondhand bookshop .

There is a [[bookshop]] at the gallery .",1.0,0.9208369255065918,"In Temple Bar , the bookshop at the Gallery of Photography carries a large selection of photographic publications , and the Flying Pig is a secondhand bookshop .

There is a [[librarians]] at the gallery ."
0.0,0.26354914903640747,"On Naxos , you can walk through the pretty villages of the Tragea Valley and the foothills of Mount Zas , admiring Byzantine churches and exploring olive groves at your leisure .

Naxos is a [[place]] with beautiful scenery for leisure .",1.0,0.8503842949867249,"On Naxos , you can walk through the pretty villages of the Tragea Valley and the foothills of Mount Zas , admiring Byzantine churches and exploring olive groves at your leisure .

Naxos is a [[stead]] with beautiful scenery for leisure ."
1.0,0.0005623698234558105,"[[Impossible]] .

[[Impossible]] , unless circumstances are [[met]] .",2.0,0.846971333026886,"[[Impassable]] .

[[Utopian]] , unless circumstances are [[flattered]] ."
0.0,0.013128399848937988,"Expenses included in calculating net cost for education and training programs that are intended to increase or maintain national economic productive capacity shall be reported as investments in human capital as required supplementary stewardship information accompanying the financial statements of the Federal Government and its component units .

Net cost for education programs can be calculated as a [[way]] to increase productivity .",1.0,0.9981756806373596,"Expenses included in calculating net cost for education and training programs that are intended to increase or maintain national economic productive capacity shall be reported as investments in human capital as required supplementary stewardship information accompanying the financial statements of the Federal Government and its component units .

Net cost for education programs can be calculated as a [[chemin]] to increase productivity ."
2.0,0.008867084980010986,"But the real dirty work had already been done .

There was [[still]] lots of dirty work left to be completed .",1.0,0.6417951583862305,"But the real dirty work had already been done .

There was [[even]] lots of dirty work left to be completed ."
0.0,0.008518099784851074,"[[Guards]] would regulate those who entered and departed .

[[Guards]] [[checked]] who went in and out .",1.0,0.6001141667366028,"[[Garde]] would regulate those who entered and departed .

[[Bodyguards]] [[examined]] who went in and out ."
2.0,0.0002682805061340332,"I was [[pulled]] into the [[bar]] .

I managed to [[escape]] their grasp and [[ran]] just outside the [[bar]] .",1.0,0.6084606647491455,"I was [[heave]] into the [[barre]] .

I managed to [[stave]] their grasp and [[eluded]] just outside the [[bars]] ."
0.0,0.054495036602020264,"Later , Tom testified against John so as to [[avoid]] the electric chair .

Tom was willing to speak against the other man to avoid his own execution .",1.0,0.6432933807373047,"Later , Tom testified against John so as to [[avert]] the electric chair .

Tom was willing to speak against the other man to avoid his own execution ."
1.0,0.9369672536849976,"Lincoln glared .

The man was angry .",1.0,0.9369672536849976,"Lincoln glared .

The man was angry ."
2.0,0.00020045042037963867,"You 'll even be able to consult a [[traditional]] herbalist to cure your ailments .

You will not be allowed to [[consult]] with [[traditional]] herbalists .",1.0,0.5549746751785278,"You 'll even be able to consult a [[conventional]] herbalist to cure your ailments .

You will not be allowed to [[worm]] with [[classical]] herbalists ."
2.0,0.0006864070892333984,"Your man would n't have remained conscious after the first blow .

Your [[man]] [[stayed]] [[conscious]] even after the first blow .",1.0,0.9910013675689697,"Your man would n't have remained conscious after the first blow .

Your [[fella]] [[stopped]] [[careful]] even after the first blow ."
0.0,0.0064598917961120605,"Larger ski resorts are 90 minutes away .

If we travel for 90 minutes , we could arrive at [[larger]] ski resorts .",1.0,0.7213217616081238,"Larger ski resorts are 90 minutes away .

If we travel for 90 minutes , we could arrive at [[widest]] ski resorts ."
0.0,0.002217710018157959,"Czarek had to fight for [[attention]] :

Czarek had to [[engage]] in a fight to seek attention .",1.0,0.6346054077148438,"Czarek had to fight for [[heed]] :

Czarek had to [[commit]] in a fight to seek attention ."
0.0,0.08573329448699951,"The truth ?

Is that [[true]] ?",2.0,0.9974008202552795,"The truth ?

Is that [[veritable]] ?"
