"Index","label_1","label_2","text1","text2","score_1","score_2","SE_Thresh","dataset","SE_Model"
0,0.0,1.0,"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",0.6895306706428528,0.6639524102210999,0.98,"mr","BERT"
3,0.0,1.0,"the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .","the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .",0.6581517457962036,0.5880809724330902,0.98,"mr","BERT"
1,0.0,1.0,"…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .","…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .",0.7369652986526489,0.5608173608779907,0.98,"mr","BERT"
0,0.0,1.0,"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .","the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a small creepy .",0.7304585576057434,0.7124892175197601,0.98,"mr","BERT"
1,0.0,1.0,"anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in 'the ring . '","anyone who obtains chills from films with giant plot keyholes will unearth plenty to shake and shiver about in 'the rings . '",0.7507916688919067,0.591228574514389,0.98,"mr","BERT"
1,0.0,1.0,"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .","at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut undeniably would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .",0.6356039643287659,0.5306386947631836,0.98,"mr","BERT"
2,0.0,1.0,"if there's one thing this world needs less of , it's movies about college that are written and directed by people who couldn't pass an entrance exam .","if there's one thing this world need less of , it's films about college that are written and directed by people who couldn't pass an entrance examination .",0.7525311112403871,0.5059917569160461,0.98,"mr","BERT"
3,0.0,1.0,"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .","to call the other side of heaven "" horrifying "" would be to underestimate just how dangerous entertainments like it can be .",0.5376819968223572,0.5264649391174316,0.98,"mr","BERT"
5,0.0,1.0,"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",0.7596333026885986,0.7442054450511932,0.98,"mr","BERT"
0,0.0,1.0,"skip the film and buy the philip glass soundtrack cd .","skip the films and buy the philip glass soundtrack cd .",0.6150417327880859,0.5434660017490387,0.98,"mr","BERT"
3,0.0,1.0,"a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .","a lot like the imaginary sport it projects onto the screen -- loud , violent and senseless .",0.6200727820396423,0.8267480283975601,0.98,"mr","BERT"
