Input.text,Answer.sentiment.label,Input.original,Title,Description
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Real,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Real,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Real,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Real,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Real,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Real,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Computer-altered,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Real,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Real,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
"though writer director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent child relationship, it has some special qualities and the soulful gravity of crudup's anchoring performance",Real,True,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
match neorealism's affected by showed the humans of a war ruptured land filled with people who just want to live their lives,Computer-altered,False,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
match neorealism's affected by showed the humans of a war ruptured land filled with people who just want to live their lives,Computer-altered,False,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
match neorealism's affected by showed the humans of a war ruptured land filled with people who just want to live their lives,Computer-altered,False,Guess reviews are real or fake,You will be randomly shown an online review from either IMDB or Yelp. Half of these reviews are in their original form (written by humans) and half have been modified by a computer to meet certain constraints. Guess which is which.
