Input.text1,Input.text2,Answer.semantic-similarity.label,Input.dataset,Title,Description,Input.SE_Model,Input.SE_Thresh
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dissipated length .","got some good , organic character work , lots of obvious political insights and little room for engaging , imaginative filmmaking in its nearly 2 1/2-hour , dispelled length .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,director boris von sychowski instead opts for a usual slasher film that was probably more fun to make than it is to sit through .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
"as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too closely .","as a hybrid teen thriller and murder mystery , murder by numbers fits the profile too attentively .",Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Not sure,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Not sure,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
the sinister inspiration that fuelled devito's early work is confused in death to smoochy into something both ugly and mindless .,the sinister inspiration that fueled devito's early working is confused in death to smoochy into something both ugly and senseless .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Strongly Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Agree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
…passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .,…passable enough for a shoot-out in the o . k . court homes of life type of flick . strictly middle of the road .,Strongly Disagree,mr,Does changing from text1 to text2 preserve meaning?,Compare two short pieces of English text and determine if they mean different things or the same,BERT,0.98
