"index","label_1","label_2","passage_1","passage_2","score_1","score_2","SE_Thresh","dataset","SE_Model"
1,0.0,1.0,"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .","this film , a certain scene in particular , brought me uncomfortably close to lose my lunches .",0.6151602268218994,0.61408931016922,0.97,"mr","BERT"
12,0.0,1.0,"this dreadfully earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .","this hideously earnest inversion of the concubine love triangle eschews the previous film's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .",0.8759058117866516,0.6029024124145508,0.95,"mr","BERT"
11,0.0,1.0,"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers .","a disappointment for those who love alternate versions of the bard , particularly ones that involving profound fryers and hamburgers .",0.52936851978302,0.606173038482666,0.98,"mr","BERT"
2,0.0,1.0,"A great opportunity for and Indy director to make an interesting film about a rock musician on the brink of stardom. It could have been a decent film if it would have dealt with John Livien's traumatic past and how it is torturing his psyche. Instead, it is a ridiculous attempt to identify John Livien's life with John Lennon's. John Livien's suicida mother's hero was John Lennon and she wished for him to become as powerful and prolific as Lennon himself. Instead of focusing on John Lennon's musical brilliance, and his wonderful ability to bare himself for others to learn something about their own life, it showed Lennon's legacy to be that of a confused, drug addicted soul, who should looked upon as a God instead a man. I am a huge John Lennon fan and this movie reminded me of another ""crazy"" person obsessed with Lennon, Lennon's killer , Mark David Chapman. Lennon was a man who was brutally murdered by someone else who had an identity crisis with Lennon. Do we need to be reminded of that? John Lennon gave so much to the world with his music and honesty and I was repulsed to see another disturbed person, as the main character in this movie obsessed by Lennon, and not show his beautiful contributions to the world. Yoko Ono graciously honored John Lennon's memory,by making the memorial in Central Park to give his fans a chance to pay their respects, and remember John. Instead the director of this movie chose to use that site to have the killer attempt to commit suicide. I found this so disturbing and disrespectful to Lennon's memory. He was a man of peace who died a brutal senseless death, and to see such violence near this site felt like a revisiting a terrible wound for any Lennon fan. It ruined the movie completely for me . It could have been a decent movie, but it left me with a bitter taste in my mouth. Let John Lennon, and his family rest in peace and not be reminded of his vicious murder by this irresponsible movie.","A great opportunity for and Indy director to make an interesting film about a rock musician on the brink of stardom. It could have been a decent film if it would have dealt with John Livien's traumatic past and how it is torturing his psyche. Instead, it is a ridiculous attempt to identify John Livien's life with John Lennon's. John Livien's suicida mother's hero was John Lennon and she wished for him to become as powerful and prolific as Lennon himself. Instead of concentrates on John Lennon's musical brilliance, and his splendid capacity to bare himself for others to learn something about their own life, it showed Lennon's legacy to be that of a confused, drug addicted soul, who should looked upon as a God instead a man. I am a colossal John Lennon fan and this movie remind me of another ""crazy"" person obsessed with Lennon, Lennon's murderer , Mark David Chapman. Lennon was a man who was brutally murdered by someone else who had an identity crisis with Lennon. Do we need to be reminded of that? John Lennon gave so much to the world with his music and honesty and I was repulsed to see another disturbed individuals, as the main character in this movie obsessed by Lennon, and not show his beautiful contributions to the world. Yoko Ono graciously honored John Lennon's memory,by making the memorial in Central Park to give his fans a chance to pay their respects, and remember John. Instead the director of this movie chose to use that site to have the killer attempt to commit suicide. I found this so disturbing and disrespectful to Lennon's memory. He was a man of peace who died a brutal senseless death, and to see such violence near this site felt like a revisiting a terrible wound for any Lennon fan. It ruined the movie completely for me . It could have been a decent movie, but it left me with a bitter taste in my mouth. Let John Lennon, and his family rest in peace and not be reminded of his vicious murder by this irresponsible movie.",0.6579897999763489,0.5535886883735657,0.99,"imdb","BERT"
10,0.0,1.0,"a hit- and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .","a hit- and-miss affair , constantly amusing but not as outrageous or funny as cho may have intended or as inventive as one perhaps have hoped .",0.7434654831886292,0.5052234530448914,0.98,"mr","BERT"
18,0.0,1.0,"strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery .","strong setup and ambitious goals fade as the films descends into unsophisticated frighten tactic and b-film thuggery .",0.6755759716033936,0.5393503904342651,0.97,"mr","BERT"
4,1.0,0.0,"Oh dear . Yet another example of "" Oireland "" and religion . No doubt we'll be seeing some depressing nonsense featuring some "" hunky and macho freedom fighters "" from the IRA . Well that was my initial reaction when the credits started but just over an hour and a half later I was in a state of shock . What a superb movie The story starts on the day of the wedding between Sean Cloney and Sheila Kelly in the 1950s . There is a slight problem since they're getting married in the catholic church and that is Sheila is a protestant but in order for the wedding to happen Sheila takes a pledge that her children will be brought up catholic and attend the catholic school when they're old enough . The story - Which is set in the 1950s - then jumps forward a few years when the Cloney daughters are about to start school but Sheila has decided they'll be attending the local protestant school much to the disgust of local priest Father Stafford . From there things escalate Let me put my cards on the table and state that despite having both Irish catholic and Scottish protestant heritage I was brought up as agnostic and have considered myself as an atheist throughout my adult life . In fact when it comes to religion I consider myself a Marxist and religion is a cynical weapon used to manipulate people . A LOVE DIVIDED shows what happens when self appointed moral guardians take it upon themselves to tell other people what to think and believe . May I have the temerity to state that if Karl Marx saw this movie he'd love it and call it a masterpiece ? Perhaps I shouldn't since the drama of this story shows what happens when other people do your thinking for you In reply to the couple of reviewers who have claimed this movie is propaganda of the worst sort I don't claim to know the exact details of what happened in County Wexford and there's no denying that Father Stafford and his flock of catholic sheep are portrayed as being the bad guys but Sheila isn't blameless herself . Think about a woman living in a rural village in 1950s Ireland who takes a pledge to bring her children up as catholics then changes her mind and believes there will be no consequences of this ? This is a warning against taking pledges and not keeping to them . Not only that but she disappears to let other people pick up the pieces of their shattered lives . There's also something that no one else has picked up upon and that is that the only character with any type of moral sense is former IRA man Andy Bailey who is shown as being gallant not because he was a former IRA member ( That makes a change . We're not talking about THE DEVIL'S OWN here ) but simply because he is an atheist who has decided to think for himself A LOVE DIVIDED is a superb movie that has a lot to say for itself , all of which I agree with . If there's any sort of criticism it's that it feels too much like a TVM rather than a cinematic movie but believe me I can live with that and is essential viewing to anyone who thinks religion is the opium of the masses","Oh dear . Yet another example of "" Oireland "" and religion . No doubt we'll be seeing some depressing nonsense featuring some "" hunky and macho freedom fighters "" from the IRA . Well that was my initial reaction when the credits started but just over an hour and a half later I was in a state of shock . What a fantastic movie The tale starts on the day of the wedding between Sean Cloney and Sheila Kelly in the 1950s . There is a slight problems since they're getting married in the catholic church and that is Sheila is a protestant but in order for the wedding to happen Sheila takes a pledge that her children will be brought up catholic and attend the catholic school when they're old enough . The story - Which is set in the 1950s - then jumps forward a few years when the Cloney daughters are about to start school but Sheila has decided they'll be attending the local protestant school much to the disgust of local priest Father Stafford . From there things escalate Let me put my cards on the table and state that despite having both Irish catholic and Scottish protestant heritage I was brought up as agnostic and have considered myself as an atheist throughout my adult life . In fact when it comes to religion I consider myself a Marxist and religion is a cynical weapon used to manipulate people . A LOVE DIVIDED shows what happens when self appointed moral guardians take it upon themselves to tell other people what to think and believe . May I have the temerity to state that if Karl Marx saw this movie he'd love it and call it a masterpiece ? Perhaps I shouldn't since the drama of this story shows what happens when other people do your thinking for you In reply to the couple of reviewers who have claimed this movie is propaganda of the worst sort I don't claim to know the exact details of what happened in County Wexford and there's no denying that Father Stafford and his flock of catholic sheep are portrayed as being the bad guys but Sheila isn't blameless herself . Think about a woman living in a rural village in 1950s Ireland who takes a pledge to bring her children up as catholics then changes her mind and believes there will be no consequences of this ? This is a warning against taking pledges and not keeping to them . Not only that but she disappears to let other people pick up the pieces of their shattered lives . There's also something that no one else has picked up upon and that is that the only character with any type of moral sense is former IRA man Andy Bailey who is shown as being gallant not because he was a former IRA member ( That makes a change . We're not talking about THE DEVIL'S OWN here ) but simply because he is an atheist who has decided to think for himself A LOVE DIVIDED is a superb movie that has a lot to say for itself , all of which I agree with . If there's any sort of criticism it's that it feels too much like a TVM rather than a cinematic movie but believe me I can live with that and is essential viewing to anyone who thinks religion is the opium of the masses",0.7950259447097778,0.5213015675544739,0.99,"imdb","BERT"
0,1.0,0.0,"In this economic climate, my hat (or sombrero?) goes off to Food City for keeping the prices better than anywhere else. Better than Walmart and Fry's. I go here for vegetables mostly. You can get 4 lbs of bananas for $1. I get 4-5 lbs and have a banana for breakfast each day. A head of lettuce is ridiculously priced at 50 cents. I get two and a $1 bag of pre-peeled carrots and have myself good-sized salads for a week. They sell the cheapest paper towels for .54 each. They carry Tina's Burritos at .30 each. Fry's doesn't. They have $1 crab. Just don't buy the packaged deli meats. Those are overpriced. It's clean. All employees speak English. Contrary to what people believe, they do carry white man's food, like pasta and potatoes. Somebody said the neighborhood didn't look too scary and of course, it's not scary. I live in the neighborhood and it looks poor but it's completely safe.","In this economic climate, my hat (or sombrero?) goes off to Food City for keeping the prices better than anywhere else. Better than Walmart and Fry's. I go here for vegetables mostly. You can get 4 lbs of bananas for $1. I get 4-5 lbs and have a banana for breakfast each day. A head of lettuce is ridiculously priced at 50 cents. I get two and a $1 bag of pre-peeled carrots and have myself good-sized salads for a week. They selling the cheapest paper towels for .54 each. They carrying Tina's Burritos at .30 each. Fry's doesn't. They ha $1 crab. Just don't buy the packaged deli meats. Those are overpriced. It's clean. All employees speak English. Contrary to what people believe, they do carry white man's food, like pasta and potatoes. Somebody says the neighborhood didn't look too scary and of course, it's not scary. I live in the neighborhood and it looks poor but it's entirely safe.",0.7062909603118896,0.5506903529167175,0.99,"yelp-sentiment","BERT"
13,1.0,0.0,"Although I generally do not like remakes believing that remakes are waste of time; this film is an exception. I didn't actually know so far until reading the previous comment that this was a remake, so my opinion is purely about the actual film and not a comparison. The story and the way it is written is no question: it is Capote. There is no need for more words. The play of Anthony Edwards and Eric Roberts is superb. I have seen some movies with them, each in one or the other. I was certain that they are good actors and in case of Eric I always wondered why his sister is the number 1 famous star and not her brother. This time this certainty is raised to fact, no question. His play, just as well as the play of Mr. Edwards is clearly the top of all their profession. I recommend this film to be on your top 50 films to see and keep on your DVD shelves.","Although I normally do not like remakes believe that remakes are waste of time; this film is an exception. I didn't actually know so far until reading the previous comment that this was a remake, so my views is solely about the actual film and not a comparison. The story and the manner it is written is no question: it is Capote. There is no needed for more words. The play of Anthony Edwards and Eric Roberts is sumptuous. I ha seen some movies with them, each in one or the other. I was certain that they are good actors and in case of Eric I always wondered why his sister is the number 1 notorious star and not her brother. This time this certainty is raised to fact, no question. His play, just as well as the play of Mr. Edwards is patently the top of all their profession. I recommending this movie to be on your top 50 movies to see and keep on your DVD shelves.",0.9821585416793824,0.5055481195449829,0.96,"imdb","BERT"
37,0.0,1.0,"OK let's get right to the point. We have five recent college grads (must have majored in the F word) going out on a weekend camping trip. They run into someone who is in need of help, but instead of trying to assist him, they decide to set him on fire instead. Nice bunch of people. Next some of them start go get sick - must be something in the water at the cabin they are staying at. However the neighbors seem to be OK. Oh well, when things start getting really bad, they lock up one their companions instead of getting help (try the neighbor by the way). Some locals don't take a liking to them. They chase one on a high speed romp through the woods for many miles, until the truck breaks down. Somehow ten minutes later he shows up at the cabin (how he could find it and how he could travel at the speed of light to get there is a mystery). Another of the brain surgeon type at the cabin realizes something is amiss so he hides out in a cave to let this blow over. He then decides the next day to return to the cabin believing it must be some type of shrine. He is giddy with relief that he survived (he must have thought it was a 24 hour bug). Unfortuneatley he is met by some not so friendly police officers. Another couple decide to have sex while the flesh eating bug is working its magic, and then the women realizes she needs to shave her legs (taking a lot of the diseased skin with shaving cream). Anyway you get the idea. Nothing makes sense here. These are five people I would not want to be friends with. I was rooting for the flesh eating bacteria. Other characters were introduced who were also somewhat amusing but utterly unlikeable as well. Ninety minutes of good life wasted here.","OK letting's got right to the point. We have five recent colleges grads (must have majored in the F word) going out on a weekends camping trip. They run into somebody who is in needed of helped, but instead of attempting to assists him, they deciding to set him on fire instead. Nice bunch of people. Next some of them start go get sick - must be something in the water at the cabin they are staying at. However the neighbors seem to be OK. Oh well, when things starting getting really bad, they lock up one their comrades instead of getting helped (attempts the neighbors by the way). Some locals don't take a liking to them. They chasing one on a high speed romp through the woods for many miles, until the truck breaks down. Somehow ten minutes later he shows up at the cabin (how he could find it and how he could journey at the speed of light to get there is a mystery). Another of the brain surgeon types at the cabin realizes something is amiss so he hides out in a cave to let this blow over. He then decides the next day to return to the cabin believing it must be some type of shrine. He is giddy with relief that he survived (he must have thought it was a 24 hour bug). Unfortuneatley he is met by some not so friendly police officers. Another couple decide to have sex while the flesh eating bug is working its magic, and then the women realizes she needs to shave her legs (taking a lot of the diseased skin with shaving cream). Anyway you get the idea. Nothing makes sense here. These are five people I would not wanna to be friends with. I was rooting for the flesh eating bacteria. Other characters were introduced who were also somewhat amusing but utterly unlikeable as well. Ninety minutes of good life wasted here.",0.6399328112602234,0.5032012462615967,0.97,"imdb","BERT"
