"index","label_1","label_2","passage_1","passage_2","score_1","score_2","SE_Thresh","dataset","SE_Model"
39,1.0,0.0,"The year 2005 saw no fewer than 3 filmed productions of H. G. Wells' great novel, ""War of the Worlds"". This is perhaps the least well-known and very probably the best of them. No other version of WotW has ever attempted not only to present the story very much as Wells wrote it, but also to create the atmosphere of the time in which it was supposed to take place: the last year of the 19th Century, 1900 using Wells' original setting, in and near Woking, England. IMDb seems unfriendly to what they regard as ""spoilers"". That might apply with some films, where the ending might actually be a surprise, but with regard to one of the most famous novels in the world, it seems positively silly. I have no sympathy for people who have neglected to read one of the seminal works in English literature, so let's get right to the chase. The aliens are destroyed through catching an Earth disease, against which they have no immunity. If that's a spoiler, so be it; after a book and 3 other films (including the 1953 classic), you ought to know how this ends. This film, which follows Wells' plot in the main, is also very cleverly presented in a way that might put many viewers off due to their ignorance of late 19th/early 20th Century photography. Although filmed in a widescreen aspect, the film goes to some lengths to give an impression of contemporaneity. The general coloration of skin and clothes display a sepia tint often found in old photographs (rather than black). Colors are often reminiscent of hand-tinting. At other times, colors are washed out. These variations are typical of early films, which didn't use standardized celluloid stock and therefore presented a good many changes in print quality, even going from black/white to sepia/white to blue/white to reddish/white and so on as you'll see on occasion here. The special effects are deliberately retrograde, of a sort seen even as late as the 1920s and yet the Martians and their machines are very much as Wells described them and have a more nearly realistic ""feel"". Some of effects are really awkward such as the destruction of Big Ben. The acting is often more in the style of that period than ours. Some aspects of Victorian dress may appear odd, particularly the use of pomade or brilliantine on head and facial hair. This film is the only one that follows with some closeness Wells' original narrative as has been noted. Viewers may find it informative to note plot details that appear here that are occasionally retained in other versions of the story. Wells' description of the Martians a giant head mounted on numerous tentacles is effectively portrayed. When the Martian machines appear, about an hour into the film, they too give a good impression of how Wells described them. Both Wells and this film do an excellent job of portraying the progress of the Martians from the limited perspective (primarily) of rural England plus a few scenes in London (involving the Narrator's brother). The director is unable to resist showing the destruction of a major landmark (Big Ben), but at least doesn't dwell unduly on the devastation of London. The victory of the Martians is hardly a surprise, despite the destruction by cannon of some of their machines. The Narrator, traveling about to seek escape, sees much of what Wells terms ""the rout of Mankind"". He encounters a curate endowed with the Victorian affliction of a much too precious and nervous personality. They eventually find themselves on the very edge of a Martian nest, where they discover an awful fact: the Martians are shown to be vampires who consume their prey alive in a very effective scene. Wells adds that after eating they set up ""a prolonged and cheerful hooting"". The Narrator finally is obliged to beat senseless the increasingly hysterical curate who revives just as the Martians drag him off to the larder (cheers from the gallery; British curates are so often utterly insufferable). This film lasts almost 3 hours, going through Wells' story in welcome detail. It's about time the author got his due in a compelling presentation that builds in dramatic impact. A word about the acting: Don't expect award-winning performances. They're not bad, however, the actors are earnest and they grow on you. Most of them, however, have had very abbreviated film careers, often only in this film. The Narrator is played by hunky Anthony Piana, in his 2nd film. The Curate is John Kaufman also in his 2nd film as an actor but who has had more experience directing. The Brother (""Henderson"") is played with some conviction by W. Bernard Bauman in his first film. The Artilleryman, the only other sizable part, is played by James Lathrop in his first film. This is overall a splendid film, portraying for the first time the War of the Worlds as Wells wrote it. Despite its slight defects, it is far and away better than any of its hyped-up competitors. If you want to see H. G. Wells' War of the Worlds and not some wholly distorted version of it see this film!","The year 2005 saw no less than 3 filmed productions of H. G. Wells' great novel, ""War of the Worlds"". This is perhaps the least well-known and very presumably the best of them. No other version of WotW ha ever attempted not only to present the story very much as Wells wrote it, but also to create the atmosphere of the time in which it was supposed to take place: the last year of the 19th Century, 1900 using Wells' original setting, in and near Woking, England. IMDb seem unfriendly to what they regard as ""spoilers"". That might apply with some films, where the ending might actually be a surprise, but with regard to one of the most prestigious novels in the world, it seems positively silly. I ha no sympathy for people who ha neglected to read one of the seminal works in English literature, so let's get right to the chase. The aliens are razed through catching an Earth disease, against which they have no immunity. If that's a spoiler, so be it; after a book and 3 other movie (including the 1953 classic), you ought to know how this ends. This film, which follows Wells' plot in the main, is also very cleverly presented in a way that might put many viewers off due to their ignorance of late 19th/early 20th Century photography. Although filmed in a widescreen aspect, the film goes to some lengths to give an impression of contemporaneity. The general coloration of skin and clothes display a sepia tint often found in old photographs (rather than black). Colors are often reminiscent of hand-tinting. At other times, colors are washed out. These variations are typical of early films, which didn't use standardized celluloid stock and therefore presented a good many changes in print quality, even going from black/white to sepia/white to blue/white to reddish/white and so on as you'll see on occasion here. The special effects are deliberately retrograde, of a sort seen even as late as the 1920s and yet the Martians and their machines are very much as Wells described them and have a more nearly realistic ""feel"". Some of effects are really awkward such as the destruction of Big Ben. The acting is often more in the style of that period than ours. Some aspects of Victorian dress may appear odd, particularly the use of pomade or brilliantine on head and facial hair. This film is the only one that follows with some closeness Wells' original narrative as has been noted. Viewers may find it informative to note plot details that appear here that are occasionally retained in other versions of the story. Wells' description of the Martians a giant head mounted on numerous tentacles is effectively portrayed. When the Martian machines appear, about an hour into the film, they too give a good impression of how Wells described them. Both Wells and this film do an excellent job of portraying the progress of the Martians from the limited perspective (primarily) of rural England plus a few scenes in London (involving the Narrator's brother). The director is unable to resist showing the destruction of a major landmark (Big Ben), but at least doesn't dwell unduly on the devastation of London. The victory of the Martians is hardly a surprise, despite the destruction by cannon of some of their machines. The Narrator, traveling about to seek escape, sees much of what Wells terms ""the rout of Mankind"". He encounters a curate endowed with the Victorian affliction of a much too precious and nervous personality. They eventually find themselves on the very edge of a Martian nest, where they discover an awful fact: the Martians are shown to be vampires who consume their prey alive in a very effective scene. Wells adds that after eating they set up ""a prolonged and cheerful hooting"". The Narrator finally is obliged to beat senseless the increasingly hysterical curate who revives just as the Martians drag him off to the larder (cheers from the gallery; British curates are so often utterly insufferable). This film lasts almost 3 hours, going through Wells' story in welcome detail. It's about time the author got his due in a compelling presentation that builds in dramatic impact. A word about the acting: Don't expect award-winning performances. They're not bad, however, the actors are earnest and they grow on you. Most of them, however, have had very abbreviated film careers, often only in this film. The Narrator is played by hunky Anthony Piana, in his 2nd film. The Curate is John Kaufman also in his 2nd film as an actor but who has had more experience directing. The Brother (""Henderson"") is played with some conviction by W. Bernard Bauman in his first film. The Artilleryman, the only other sizable part, is played by James Lathrop in his first film. This is overall a splendid film, portraying for the first time the War of the Worlds as Wells wrote it. Despite its slight defects, it is far and away better than any of its hyped-up competitors. If you want to see H. G. Wells' War of the Worlds and not some wholly distorted version of it see this film!",0.7469640374183655,0.530845582485199,0.96,"imdb","BERT"
0,1.0,0.0,"I have been using this club since it opened. I swim and use the locker room. My only complaint is that they do not know how to clean the tile floors. I see the cleaning person with a string mop, which is basically just spreading dirty water over the floor. The floors are in need of professional steam cleaning.","I ha been uses this club since it open. I swim and using the locker room. My only complaint is that they do not know how to clean the tile floors. I see the cleaning person with a string mop, which is basically just spreading dirty water over the floor. The floors are in need of professional steam cleaning.",0.7129071950912476,0.5068929195404053,0.99,"yelp-sentiment","BERT"
16,0.0,1.0,"affleck merely creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .","affleck mere creates an outline for a role he still needs to grow into , a role that ford effortlessly filled with authority .",0.5793436169624329,0.917208194732666,0.96,"mr","BERT"
21,1.0,0.0,"I rented this some years ago, the video store had only VHS at the time. Straight to video was hitting it's strides (you know, where the box covers use the same font and color schemes of successful films).I didn't know what to expect other than what was printed. First thing I thought while watching was ""what the hells' wrong with the sound?""-Obviously there was no dialogue dubbing. Words echoed, so I stopped munching on whatever I had to pay closer attention-mind you there's no Shakespeare here!,just simple talk. The story is simple enough, boy meets girl etc.. What struck me as humorous and heartfelt was, the people in the movie didn't seem like caricatures written into the story,but rather non-actors plucked temporarily from their real jobs(uniforms included). All the while, you begin to sense what the filmmaker is after,then see that there are no attempts at cheap humor(people hurting their privates,using vulgarities this couldn't have hurt the marketing. There was something honest about it. I thought if they'd have a bigger budget then it would have been better, which i'm sure they considered daily,but, they went ahead and made it. This, I felt, was what independent film-making is all about.The word ""Indy"", is thrown around as if it's a Genre..Ha!..that's funny!","I rented this some years ago, the video store had only VHS at the time. Straight to video was hitting it's strides (you know, where the box covers use the same font and color schemes of successful films).I didn't know what to expect other than what was printed. First thing I think while watching was ""what the hells' wrong with the sound?""-Manifestly there was no dialogue dubbing. Words echoed, so I stopped munching on whatever I had to pay closer attention-mind you there's no Shakespeare here!,just simple talk. The story is simple enough, boy meets girl etc.. What struck me as humorous and heartfelt was, the people in the movie didn't seem like caricatures written into the story,but rather non-actors plucked temporarily from their real jobs(uniforms included). All the while, you commence to sensing what the filmmaker is after,then see that there are no tries at cheap humor(people hurting their privates,usage vulgarities this couldn't have hurt the marketing. There was something honest about it. I thought if they'd have a bigger budget then it would have been better, which i'm sure they considered daily,but, they went ahead and made it. This, I felt, was what independent film-making is all about.The word ""Indy"", is thrown around as if it's a Genre..Ha!..that's funny!",0.6280602812767029,0.5376626849174501,0.97,"imdb","BERT"
41,1.0,0.0,"This an free adaptation of the novels of Clarence Mulford; fans of the Willaim Boyd films will probably feel a little at sea here (and the reviews here so far reflect that). But I knew of Hopalong from the novels first, and never cared much for the Boyd films once I got around to them. Christopher Coppola has made a wise choice - he has not made a nostalgic ""Western""; instead, he has approached the Cassidy story as a slice of what we used to call 'Americana'; or what older critics once called 'homespun'. As the film unraveled, I found myself more and more reminded of the great ""Hallmark Theater"" version of Mark Twain's ""Roughing It"", with James Garner narrating. Both these films remind us that, although films about the 'old west' are probably always to be mythic for Americans, they need not be 'westerns'; they can very well be just films about what it meant to be American in that time, in that place. I never feel pandered to, watching this film; there's no effort to shove the Boyd-Cassidy legacy down our throats, no irony, no camp. Consequently, I get a sense of these characters as having walked - or ridden horseback - across some real western America I too could have walked a hundred years ago. Given that, the plainness of the film - it positively avoids anything we have come to call ""style"" - is all to its favor; and the plain acting of the performers fits neatly in with this; gosh, it really does feel like some story told around a campfire on a cattle drive - no visual dressing, just the quirks and good humor - and sudden violence - that we expect from the good narration of an adventure yarn. I was very pleasantly surprised by this film, and if the viewer sets aside encultured expectations, he or she will find considerable pleasure in it. I would have given this film 9-stars, but I'll give it a ten just because most reviewers here have missed the point completely; and I urge them to set their memories of Boyd aside and give this film another chance. Note 1: A reviewer complained that Hopalong shoots people dead in this film, rather than shooting the guns out of their hands (ala Boyd's Cassidy); first, Cassidy DOES shoot people dead in the novels; second, if Cassidy were a real cowboy he would have shot people dead - the problem with shooting guns out of people's hands is that they can always get another gun - which happens to be part of the subtext of this very film. Note 2: I admit that I am jealous of the Coppola family, that they have the Director of ""The Godfather"" among them who can get them all opportunities to make movies that I can't; but a good movie is a good movie; and this is a good movie. If it's by somebody by the name ""Coppola"", well, that's just is as it is. America is the land of opportunity (or was, until Bush got into office) - that's what the great American novels are all about.","This an free adaptations of the novels of Clarence Mulford; enthusiasts of the Willaim Boyd movie will presumably feel a little at sea here (and the review here so far reflecting that). But I knew of Hopalong from the novels first, and never cared much for the Boyd movie once I get around to them. Christopher Coppola ha made a wise choice - he ha not made a nostalgic ""Western""; instead, he has approached the Cassidy story as a slice of what we used to call 'Americana'; or what elderly detractors once called 'homespun'. As the movie unraveled, I found myself more and more reminds of the great ""Hallmark Theater"" version of Mark Twain's ""Roughing It"", with James Garner narrating. Both these movies reminded us that, although movie about the 'old west' are presumably always to be mythic for Americans, they need not be 'westerns'; they can very well be just movie about what it meant to be American in that time, in that place. I never feel pandered to, watching this films; there's no effort to shove the Boyd-Cassidy legacy down our throats, no irony, no camp. Consequently, I get a sense of these characters as having walked - or ridden horseback - across some real western America I too could have walked a hundred years ago. Given that, the plainness of the film - it positively avoids anything we have come to call ""style"" - is all to its favor; and the plain acting of the performers fits neatly in with this; gosh, it really does feel like some story told around a campfire on a cattle drive - no visual dressing, just the quirks and good humor - and sudden violence - that we expect from the good narration of an adventure yarn. I was very pleasantly surprised by this film, and if the viewer sets aside encultured expectations, he or she will find considerable pleasure in it. I would have given this film 9-stars, but I'll give it a ten just because most reviewers here have missed the point completely; and I urge them to set their memories of Boyd aside and give this film another chance. Note 1: A reviewer complained that Hopalong shoots people dead in this film, rather than shooting the guns out of their hands (ala Boyd's Cassidy); first, Cassidy DOES shoot people dead in the novels; second, if Cassidy were a real cowboy he would have shot people dead - the problem with shooting guns out of people's hands is that they can always get another gun - which happens to be part of the subtext of this very film. Note 2: I admit that I am jealous of the Coppola family, that they have the Director of ""The Godfather"" among them who can get them all opportunities to make movies that I can't; but a good movie is a good movie; and this is a good movie. If it's by somebody by the name ""Coppola"", well, that's just is as it is. America is the land of opportunity (or was, until Bush got into office) - that's what the great American novels are all about.",0.907368004322052,0.5175945162773132,0.97,"imdb","BERT"
1,0.0,1.0,"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .","what's astonishing about this traditional thriller , moderately successful but not abundantly satisfying , is precisely how genteel and unsurprising the execution turns out to be .",0.6632775664329529,0.5550640225410461,0.99,"mr","BERT"
43,1.0,0.0,"""Flavia, la monaca muslmana"" aka. ""Flavia the Heretic"" of 1974 is a truly disturbing and uncompromising piece of Italian Exploitation cinema that, to a certain extent, follows a somewhat feminist premise (though the level of sleaze and brutality would probably disgust the majority of feminists). Set mostly in a convent, and with a nun as the eponymous central protagonist (great performance by the wonderful Florinda Bolkan), ""Flavia the Heretic"" may be referred to as a 'Nunsploitation' film. However, this film differs quite drastically from the typical Nunsploitation flicks from the time, as it doesn't so much focus on the nunsploitation elements such as lesbianism, sadistic lesbian punishments, etc. Personally, I saw more similarities to the Hexploitation flicks of the time, such as ""Mark of The Devil"", (even though this one doesn't treat the topic of witch-hunts), which focus on the brutal execution of Christian fundamentalism in the middle ages and early modern period. Italy around 1600: After witnessing her despotic father behead a wounded Muslim soldier, young Flavia is forced to become a nun in a convent. When her father condemns a fellow nun to a torturous death for a small misdemeanor years later, Falvia's disgust with male violence against women turns into hatred against the despotic church, and she joins a band of Arabic scavengers... One thing is for sure, ""Flavia the Heretic"" is not for the faint-hearted, and neither is it for those who want happy endings. Director Gianfranco Mingozzi obviously tried to make his film as realistic and disturbing as possible, especially in its nasty scenes. The many torture- and execution-scenes are extremely disturbing, with skinnings, spikings and other gruesome scenes in explicit detail, the most shocking scene probably being the torture of the young nun quite in the beginning of the film. The violence here is never superfluous, however. After all, this gruesome methods actually were reality in the time the film is set in. The film is very well-made, with realistic costumes, fantastic settings an elegant cinematography and a great score by Nicola Piovani. The stunningly beautiful and great Florinda Bolkan has proved her talent in many great Italian cult-productions (including Lucio Fulci's Giallo-masterpiece ""Non Si Sevizia Un Paperino"" of 1972). She delivers another great, charismatic performance here, and I couldn't imagine another actress fitting as well in the role as she does. The film has some minor inconsistencies (E.g. why does the rigid church let bizarre cult-followers into convents in the first place). However, it is overall amazing how realistic this film is. ""Flavia the Heretic"" should definitely not be missed by my fellow fans of Italian Exploitation Cinema. This is a great Exploitation flick overall, though it definitely is a deeply depressing one and therefore should be watched in the right mood. Highly recommended to fans of disturbing exploitation cinema. 7.5/10","""Flavia, la monaca muslmana"" aka. ""Flavia the Heretic"" of 1974 is a truly troubling and uncompromising piece of Italian Exploitation cinema that, to a certain extent, follows a somewhat feminist premise (though the level of sleaze and brutality would probably disgust the majority of feminists). Set mostly in a convent, and with a nun as the eponymous central protagonist (great performance by the wonderful Florinda Bolkan), ""Flavia the Heretic"" may be referred to as a 'Nunsploitation' film. However, this film differs quite drastically from the typical Nunsploitation flicks from the time, as it doesn't so much focus on the nunsploitation elements such as lesbianism, sadistic lesbian punishments, etc. Personally, I saw more similarities to the Hexploitation flicks of the time, such as ""Mark of The Devil"", (even though this one doesn't treat the topic of witch-hunts), which focus on the brutal execution of Christian fundamentalism in the middle ages and early modern period. Italy around 1600: After witnessing her despotic father behead a wounded Muslim soldier, young Flavia is forced to become a nun in a convent. When her father condemns a fellow nun to a torturous death for a small misdemeanor years later, Falvia's disgust with male violence against women turns into hatred against the despotic church, and she joins a band of Arabic scavengers... One thing is for sure, ""Flavia the Heretic"" is not for the faint-hearted, and neither is it for those who want happy endings. Director Gianfranco Mingozzi obviously tried to make his film as realistic and disturbing as possible, especially in its nasty scenes. The many torture- and execution-scenes are extremely disturbing, with skinnings, spikings and other gruesome scenes in explicit detail, the most shocking scene probably being the torture of the young nun quite in the beginning of the film. The violence here is never superfluous, however. After all, this gruesome methods actually were reality in the time the film is set in. The film is very well-made, with realistic costumes, fantastic settings an elegant cinematography and a great score by Nicola Piovani. The stunningly beautiful and great Florinda Bolkan has proved her talent in many great Italian cult-productions (including Lucio Fulci's Giallo-masterpiece ""Non Si Sevizia Un Paperino"" of 1972). She delivers another great, charismatic performance here, and I couldn't imagine another actress fitting as well in the role as she does. The film has some minor inconsistencies (E.g. why does the rigid church let bizarre cult-followers into convents in the first place). However, it is overall amazing how realistic this film is. ""Flavia the Heretic"" should definitely not be missed by my fellow fans of Italian Exploitation Cinema. This is a great Exploitation flick overall, though it definitely is a deeply depressing one and therefore should be watched in the right mood. Highly recommended to fans of disturbing exploitation cinema. 7.5/10",0.6560696959495544,0.6131432056427002,0.96,"imdb","BERT"
1,1.0,0.0,"Saw this place on Yelp and decided to give it a try while I was in Vegas. The way to order is really confusing. There are five seperate lines that lead to a counter where different workers are making food with different types of meat. The lines are usually out the door so you have to try and stand in the line with the type of meat you plan on ordering and then when you actually get to the front to order you can ask the worker to get you food from the other workers with the different meats down the line. It gets really hectic because the restaurant gets so packed that there is literally 40 people in a very small space in front of the food counter. If you are claustrophobic this place will freak you out. You pretty much feel like a sardine in a can. The best meat that Tacos El Gordo has available is the ADOBADA (spicy marinated pork meat) that cooked rotating on a spit. The worker will slice the meat directly into the taco tortilla and add on all the toppings you desire. The Adobada is a little spicy so if you cannot handle a little heat this might not be for you. Tacos El Gordo is right off of the strip so its really easy to find. Parking can be a little difficult at times because it just gets so crowded on the strip.","Saw this place on Yelp and decided to give it a try while I was in Vegas. The way to order is genuinely confusing. There are five seperate lines that lead to a counter where different workers are making food with different types of meat. The lines are usually out the door so you have to try and stand in the line with the type of meat you plan on ordering and then when you actually get to the front to order you can ask the worker to get you food from the other workers with the different meats down the line. It obtains really hectic because the restaurant obtains so packed that there is literally 40 people in a very small space in front of the food counter. If you are claustrophobic this place will freak you out. You pretty much feel like a sardine in a can. The best meat that Tacos El Gordo has available is the ADOBADA (spicy marinated pork meat) that cooked rotated on a spit. The worker will slice the meat directly into the taco tortilla and add on all the toppings you desiring. The Adobada is a little spicy so if you cannot handle a little heat this might not be for you. Tacos El Gordo is right off of the strip so its really easy to find. Parking can be a little difficult at times because it just gets so crowded on the strip.",0.6296578049659729,0.5004914999008179,0.99,"yelp-sentiment","BERT"
5,0.0,1.0,"it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and harder to understand her choices .","it's easy to love robin tunney -- she's pretty and she can act -- but it gets harder and tougher to understand her choices .",0.5900136232376099,0.5346535444259644,0.99,"mr","BERT"
2,0.0,1.0,"it's hard to say who might enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents get in the way of saying something meaningful about facing death","it's tough to say who perhaps enjoy this , are there tolstoy groupies out there ? it's dark and tragic , and lets the business of the greedy talent agents got in the way of saying something meaningful about facing death",0.5986720323562622,0.5572343468666077,0.97,"mr","BERT"
